Loci	NallelesSequence	NalleleSize	MissingRate	AllelicMismatches	DiploidGenotypesComparred	AllelicError
Arm01	0	0	100.00000%	0	0	% 
Arm02	0	0	100.00000%	0	0	% 
Arm03	0	0	100.00000%	0	0	% 
Arm04	0	0	100.00000%	0	0	% 
Arm05	0	0	100.00000%	0	0	% 
Arm06	0	0	100.00000%	0	0	% 
Arm07	0	0	100.00000%	0	0	% 
Arm08	0	0	100.00000%	0	0	% 
Arm09	0	0	100.00000%	0	0	% 
Arm10	0	0	100.00000%	0	0	% 
Arm11	0	0	100.00000%	0	0	% 
Armo01	0	0	100.00000%	0	0	% 
Armo02	0	0	100.00000%	0	0	% 
Armo03	0	0	100.00000%	0	0	% 
Am-AG-1	0	0	100.00000%	0	0	% 
Am-AG-10	0	0	100.00000%	0	0	% 
Am-AG-4B	0	0	100.00000%	0	0	% 
Am-AG-11	0	0	100.00000%	0	0	% 
Am-CT-5	0	0	100.00000%	0	0	% 
Am-ATC-2	0	0	100.00000%	0	0	% 
Am-ATC-3	0	0	100.00000%	0	0	% 
Am-CT-2	0	0	100.00000%	0	0	% 
Am-AG-2B	0	0	100.00000%	0	0	% 
