,Am-AG-2B_101,Am-AG-2B_102,Am-AG-2B_103,Am-AG-2B_104,Am-AG-2B_105,Am-AG-2B_106,Am-AG-2B_107,Am-AG-2B_108,Am-AG-2B_109,Am-AG-2B_110,Am-AG-2B_111,Am-AG-2B_112
Am-AG-2B_101,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Am-AG-2B_102,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Am-AG-2B_103,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
Am-AG-2B_104,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0
Am-AG-2B_105,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Am-AG-2B_106,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Am-AG-2B_107,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Am-AG-2B_108,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.1,0.0,0.0,0.0
Am-AG-2B_109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0
Am-AG-2B_110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Am-AG-2B_111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Am-AG-2B_112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
