Allele1,Allele2,Value
103,103,1.0
103,107,0.5
103,115,0.0
103,135.1,0.0
103,139,0.0
103,83,0.0
103,87,0.0
103,91,0.0
103,95,0.1
107,103,0.1
107,107,1.0
107,115,0.1
107,135.1,0.0
107,139,0.0
107,83,0.0
107,87,0.0
107,91,0.0
107,95,0.0
115,103,0.0
115,107,0.1
115,115,1.0
115,135.1,0.0
115,139,0.0
115,83,0.0
115,87,0.0
115,91,0.0
115,95,0.0
135.1,103,0.0
135.1,107,0.0
135.1,115,0.0
135.1,135.1,1.0
135.1,139,0.0
135.1,83,0.0
135.1,87,0.0
135.1,91,0.0
135.1,95,0.0
139,103,0.0
139,107,0.0
139,115,0.0
139,135.1,0.0
139,139,1.0
139,83,0.0
139,87,0.0
139,91,0.0
139,95,0.0
83,103,0.0
83,107,0.0
83,115,0.0
83,135.1,0.0
83,139,0.0
83,83,1.0
83,87,0.5
83,91,0.1
83,95,0.0
87,103,0.0
87,107,0.0
87,115,0.0
87,135.1,0.0
87,139,0.0
87,83,0.1
87,87,1.0
87,91,0.5
87,95,0.1
91,103,0.0
91,107,0.0
91,115,0.0
91,135.1,0.0
91,139,0.0
91,83,0.1
91,87,0.1
91,91,1.0
91,95,0.5
95,103,0.1
95,107,0.0
95,115,0.0
95,135.1,0.0
95,139,0.0
95,83,0.0
95,87,0.1
95,91,0.1
95,95,1.0
119,119,1.0
119,119.2,0.0
119,131,0.0
119,131.2,0.0
119.2,119,0.0
119.2,119.2,1.0
119.2,131,0.0
119.2,131.2,0.0
131,119,0.0
131,119.2,0.0
131,131,1.0
131,131.2,0.0
131.2,119,0.0
131.2,119.2,0.0
131.2,131,0.0
131.2,131.2,1.0
163,163,1.0
163,167,0.5
163,171,0.1
163,175,0.0
163,179,0.0
163,183.1,0.0
163,187,0.0
163,191,0.0
163,199,0.0
167,163,0.1
167,167,1.0
167,171,0.5
167,175,0.1
167,179,0.0
167,183.1,0.0
167,187,0.0
167,191,0.0
167,199,0.0
171,163,0.1
171,167,0.1
171,171,1.0
171,175,0.5
171,179,0.1
171,183.1,0.0
171,187,0.0
171,191,0.0
171,199,0.0
175,163,0.0
175,167,0.1
175,171,0.1
175,175,1.0
175,179,0.5
175,183.1,0.0
175,187,0.0
175,191,0.0
175,199,0.0
179,163,0.0
179,167,0.0
179,171,0.1
179,175,0.1
179,179,1.0
179,183.1,0.0
179,187,0.1
179,191,0.0
179,199,0.0
183.1,163,0.0
183.1,167,0.0
183.1,171,0.0
183.1,175,0.0
183.1,179,0.0
183.1,183.1,1.0
183.1,187,0.0
183.1,191,0.0
183.1,199,0.0
187,163,0.0
187,167,0.0
187,171,0.0
187,175,0.0
187,179,0.1
187,183.1,0.0
187,187,1.0
187,191,0.5
187,199,0.0
191,163,0.0
191,167,0.0
191,171,0.0
191,175,0.0
191,179,0.0
191,183.1,0.0
191,187,0.1
191,191,1.0
191,199,0.1
199,163,0.0
199,167,0.0
199,171,0.0
199,175,0.0
199,179,0.0
199,183.1,0.0
199,187,0.0
199,191,0.1
199,199,1.0
147,147,1.0
147,147.2,0.0
147,151,0.0
147,193,0.0
147,197,0.0
147,201,0.0
147.2,147,0.0
147.2,147.2,1.0
147.2,151,0.0
147.2,193,0.0
147.2,197,0.0
147.2,201,0.0
151,147,0.0
151,147.2,0.0
151,151,1.0
151,193,0.0
151,197,0.0
151,201,0.0
193,147,0.0
193,147.2,0.0
193,151,0.0
193,193,1.0
193,197,0.5
193,201,0.1
197,147,0.0
197,147.2,0.0
197,151,0.0
197,193,0.1
197,197,1.0
197,201,0.5
201,147,0.0
201,147.2,0.0
201,151,0.0
201,193,0.1
201,197,0.1
201,201,1.0
177,177,1.0
177,185,0.1
177,185.2,0.0
177,189,0.0
185,177,0.1
185,185,1.0
185,185.2,0.0
185,189,0.5
185.2,177,0.0
185.2,185,0.0
185.2,185.2,1.0
185.2,189,0.0
189,177,0.0
189,185,0.1
189,185.2,0.0
189,189,1.0
109,109,1.0
109,113,0.5
109,117,0.1
109,129,0.0
109,81,0.0
109,93,0.0
109,97,0.0
113,109,0.1
113,113,1.0
113,117,0.5
113,129,0.0
113,81,0.0
113,93,0.0
113,97,0.0
117,109,0.1
117,113,0.1
117,117,1.0
117,129,0.0
117,81,0.0
117,93,0.0
117,97,0.0
129,109,0.0
129,113,0.0
129,117,0.0
129,129,1.0
129,81,0.0
129,93,0.0
129,97,0.0
81,109,0.0
81,113,0.0
81,117,0.0
81,129,0.0
81,81,1.0
81,93,0.0
81,97,0.0
93,109,0.0
93,113,0.0
93,117,0.0
93,129,0.0
93,81,0.0
93,93,1.0
93,97,0.5
97,109,0.0
97,113,0.0
97,117,0.0
97,129,0.0
97,81,0.0
97,93,0.1
97,97,1.0
106.1,106.1,1.0
106.1,108,0.0
106.1,108.2,1.0
106.1,108.3,1.0
106.1,110,0.0
106.1,110.2,0.0
108,106.1,0.0
108,108,1.0
108,108.2,0.0
108,108.3,0.0
108,110,0.0
108,110.2,0.0
108.2,106.1,1.0
108.2,108,0.0
108.2,108.2,1.0
108.2,108.3,1.0
108.2,110,0.0
108.2,110.2,0.0
108.3,106.1,1.0
108.3,108,0.0
108.3,108.2,1.0
108.3,108.3,1.0
108.3,110,0.0
108.3,110.2,0.0
110,106.1,0.0
110,108,0.0
110,108.2,0.0
110,108.3,0.0
110,110,1.0
110,110.2,0.0
110.2,106.1,0.0
110.2,108,0.0
110.2,108.2,0.0
110.2,108.3,0.0
110.2,110,0.0
110.2,110.2,1.0
