,Arm06_101,Arm06_102,Arm06_103,Arm06_104,Arm06_105,Arm06_106,Arm06_107,Arm06_108,Arm06_109,Arm06_110
Arm06_101,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arm06_102,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arm06_103,0.0,0.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
Arm06_104,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Arm06_105,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Arm06_106,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Arm06_107,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,0.0,0.0
Arm06_108,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.1,0.0
Arm06_109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0
Arm06_110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
