Allele1,Allele2,Value
Armo01_101,Armo01_101,1.0
Armo01_101,Armo01_102,0.0
Armo01_101,Armo01_103,0.0
Armo01_101,Armo01_104,0.0
Armo01_101,Armo01_105,0.0
Armo01_101,Armo01_106,0.0
Armo01_101,Armo01_107,0.0
Armo01_101,Armo01_108,0.0
Armo01_101,Armo01_109,0.0
Armo01_101,Armo01_110,0.0
Armo01_101,Armo01_111,0.0
Armo01_101,Armo01_112,0.0
Armo01_101,Armo01_113,0.0
Armo01_101,Armo01_114,0.0
Armo01_102,Armo01_101,0.0
Armo01_102,Armo01_102,1.0
Armo01_102,Armo01_103,0.5
Armo01_102,Armo01_104,0.0
Armo01_102,Armo01_105,0.0
Armo01_102,Armo01_106,0.0
Armo01_102,Armo01_107,0.0
Armo01_102,Armo01_108,0.0
Armo01_102,Armo01_109,0.0
Armo01_102,Armo01_110,0.0
Armo01_102,Armo01_111,0.0
Armo01_102,Armo01_112,0.0
Armo01_102,Armo01_113,0.0
Armo01_102,Armo01_114,0.0
Armo01_103,Armo01_101,0.0
Armo01_103,Armo01_102,0.1
Armo01_103,Armo01_103,1.0
Armo01_103,Armo01_104,0.0
Armo01_103,Armo01_105,0.0
Armo01_103,Armo01_106,0.0
Armo01_103,Armo01_107,0.0
Armo01_103,Armo01_108,0.0
Armo01_103,Armo01_109,0.0
Armo01_103,Armo01_110,0.0
Armo01_103,Armo01_111,0.0
Armo01_103,Armo01_112,0.0
Armo01_103,Armo01_113,0.0
Armo01_103,Armo01_114,0.0
Armo01_104,Armo01_101,0.0
Armo01_104,Armo01_102,0.0
Armo01_104,Armo01_103,0.0
Armo01_104,Armo01_104,1.0
Armo01_104,Armo01_105,0.5
Armo01_104,Armo01_106,0.0
Armo01_104,Armo01_107,0.0
Armo01_104,Armo01_108,0.0
Armo01_104,Armo01_109,0.0
Armo01_104,Armo01_110,0.0
Armo01_104,Armo01_111,0.0
Armo01_104,Armo01_112,0.0
Armo01_104,Armo01_113,0.0
Armo01_104,Armo01_114,0.0
Armo01_105,Armo01_101,0.0
Armo01_105,Armo01_102,0.0
Armo01_105,Armo01_103,0.0
Armo01_105,Armo01_104,0.1
Armo01_105,Armo01_105,1.0
Armo01_105,Armo01_106,0.0
Armo01_105,Armo01_107,0.0
Armo01_105,Armo01_108,0.0
