Serial,Sample,Loci,like_AA,like_AB
1,NC-2_A,Arm01,0.5,0.5
2,NC-2_A,Arm02,0.5,0.5
3,NC-2_A,Arm03,0.5,0.5
4,NC-2_A,Arm04,0.5,0.5
5,NC-2_A,Arm05,0.5,0.5
6,NC-2_A,Arm06,0.5,0.5
7,NC-2_A,Arm07,0.5,0.5
8,NC-2_A,Arm08,0.5,0.5
9,NC-2_A,Arm09,0.5,0.5
10,NC-2_A,Arm10,0.5,0.5
11,NC-2_A,Arm11,0.5,0.5
12,NC-2_A,Armo01,0.5,0.5
13,NC-2_A,Armo02,0.5,0.5
14,NC-2_A,Armo03,0.5,0.5
15,NC-2_A,Am-AG-1,0.5,0.5
16,NC-2_A,Am-AG-10,0.5,0.5
17,NC-2_A,Am-AG-4B,0.5,0.5
18,NC-2_A,Am-AG-11,0.5,0.5
19,NC-2_A,Am-CT-5,0.5,0.5
20,NC-2_A,Am-ATC-2,0.5,0.5
21,NC-2_A,Am-ATC-3,0.5,0.5
22,NC-2_A,Am-CT-2,0.5,0.5
23,NC-2_A,Am-AG-2B,0.5,0.5
24,NC-2_B,Arm01,0.5,0.5
25,NC-2_B,Arm02,0.5,0.5
26,NC-2_B,Arm03,0.5,0.5
27,NC-2_B,Arm04,0.5,0.5
28,NC-2_B,Arm05,0.5,0.5
29,NC-2_B,Arm06,0.5,0.5
30,NC-2_B,Arm07,0.5,0.5
31,NC-2_B,Arm08,0.5,0.5
32,NC-2_B,Arm09,0.5,0.5
33,NC-2_B,Arm10,0.5,0.5
34,NC-2_B,Arm11,0.5,0.5
35,NC-2_B,Armo01,0.5,0.5
36,NC-2_B,Armo02,0.5,0.5
37,NC-2_B,Armo03,0.5,0.5
38,NC-2_B,Am-AG-1,0.5,0.5
39,NC-2_B,Am-AG-10,0.5,0.5
40,NC-2_B,Am-AG-4B,0.5,0.5
41,NC-2_B,Am-AG-11,0.5,0.5
42,NC-2_B,Am-CT-5,0.5,0.5
43,NC-2_B,Am-ATC-2,0.5,0.5
44,NC-2_B,Am-ATC-3,0.5,0.5
45,NC-2_B,Am-CT-2,0.5,0.5
46,NC-2_B,Am-AG-2B,0.5,0.5
47,SB-COUT-01_A,Arm01,0.5,0.5
48,SB-COUT-01_A,Arm02,0.5,0.5
49,SB-COUT-01_A,Arm03,0.5,0.5
50,SB-COUT-01_A,Arm04,0.5,0.5
51,SB-COUT-01_A,Arm05,0.5,0.5
52,SB-COUT-01_A,Arm06,0.5,0.5
53,SB-COUT-01_A,Arm07,0.5,0.5
54,SB-COUT-01_A,Arm08,0.5,0.5
55,SB-COUT-01_A,Arm09,0.5,0.5
56,SB-COUT-01_A,Arm10,0.5,0.5
57,SB-COUT-01_A,Arm11,0.5,0.5
58,SB-COUT-01_A,Armo01,0.5,0.5
59,SB-COUT-01_A,Armo02,0.5,0.5
60,SB-COUT-01_A,Armo03,0.5,0.5
61,SB-COUT-01_A,Am-AG-1,0.5,0.5
62,SB-COUT-01_A,Am-AG-10,0.5,0.5
63,SB-COUT-01_A,Am-AG-4B,0.5,0.5
64,SB-COUT-01_A,Am-AG-11,0.5,0.5
65,SB-COUT-01_A,Am-CT-5,0.5,0.5
66,SB-COUT-01_A,Am-ATC-2,0.5,0.5
67,SB-COUT-01_A,Am-ATC-3,0.5,0.5
68,SB-COUT-01_A,Am-CT-2,0.5,0.5
69,SB-COUT-01_A,Am-AG-2B,0.5,0.5
70,SB-COUT-01_B,Arm01,0.5,0.5
71,SB-COUT-01_B,Arm02,0.5,0.5
72,SB-COUT-01_B,Arm03,0.5,0.5
73,SB-COUT-01_B,Arm04,0.5,0.5
74,SB-COUT-01_B,Arm05,0.5,0.5
75,SB-COUT-01_B,Arm06,0.5,0.5
76,SB-COUT-01_B,Arm07,0.5,0.5
77,SB-COUT-01_B,Arm08,0.5,0.5
78,SB-COUT-01_B,Arm09,0.5,0.5
79,SB-COUT-01_B,Arm10,0.5,0.5
80,SB-COUT-01_B,Arm11,0.5,0.5
81,SB-COUT-01_B,Armo01,0.5,0.5
82,SB-COUT-01_B,Armo02,0.5,0.5
83,SB-COUT-01_B,Armo03,0.5,0.5
84,SB-COUT-01_B,Am-AG-1,0.5,0.5
85,SB-COUT-01_B,Am-AG-10,0.5,0.5
86,SB-COUT-01_B,Am-AG-4B,0.5,0.5
87,SB-COUT-01_B,Am-AG-11,0.5,0.5
88,SB-COUT-01_B,Am-CT-5,0.5,0.5
89,SB-COUT-01_B,Am-ATC-2,0.5,0.5
90,SB-COUT-01_B,Am-ATC-3,0.5,0.5
91,SB-COUT-01_B,Am-CT-2,0.5,0.5
92,SB-COUT-01_B,Am-AG-2B,0.5,0.5
93,SB-COUT-02_A,Arm01,0.5,0.5
94,SB-COUT-02_A,Arm02,0.5,0.5
95,SB-COUT-02_A,Arm03,0.5,0.5
96,SB-COUT-02_A,Arm04,0.5,0.5
97,SB-COUT-02_A,Arm05,0.5,0.5
98,SB-COUT-02_A,Arm06,0.5,0.5
99,SB-COUT-02_A,Arm07,0.5,0.5
100,SB-COUT-02_A,Arm08,0.5,0.5
101,SB-COUT-02_A,Arm09,0.5,0.5
102,SB-COUT-02_A,Arm10,0.5,0.5
103,SB-COUT-02_A,Arm11,0.5,0.5
104,SB-COUT-02_A,Armo01,0.5,0.5
105,SB-COUT-02_A,Armo02,0.5,0.5
106,SB-COUT-02_A,Armo03,0.5,0.5
107,SB-COUT-02_A,Am-AG-1,0.5,0.5
108,SB-COUT-02_A,Am-AG-10,0.5,0.5
109,SB-COUT-02_A,Am-AG-4B,0.5,0.5
110,SB-COUT-02_A,Am-AG-11,0.5,0.5
111,SB-COUT-02_A,Am-CT-5,0.5,0.5
112,SB-COUT-02_A,Am-ATC-2,0.5,0.5
113,SB-COUT-02_A,Am-ATC-3,0.5,0.5
114,SB-COUT-02_A,Am-CT-2,0.5,0.5
115,SB-COUT-02_A,Am-AG-2B,0.5,0.5
116,SB-COUT-02_B,Arm01,0.5,0.5
117,SB-COUT-02_B,Arm02,0.5,0.5
118,SB-COUT-02_B,Arm03,0.5,0.5
119,SB-COUT-02_B,Arm04,0.5,0.5
120,SB-COUT-02_B,Arm05,0.5,0.5
121,SB-COUT-02_B,Arm06,0.5,0.5
122,SB-COUT-02_B,Arm07,0.5,0.5
123,SB-COUT-02_B,Arm08,0.5,0.5
124,SB-COUT-02_B,Arm09,0.5,0.5
125,SB-COUT-02_B,Arm10,0.5,0.5
126,SB-COUT-02_B,Arm11,0.5,0.5
127,SB-COUT-02_B,Armo01,0.5,0.5
128,SB-COUT-02_B,Armo02,0.5,0.5
129,SB-COUT-02_B,Armo03,0.5,0.5
130,SB-COUT-02_B,Am-AG-1,0.5,0.5
131,SB-COUT-02_B,Am-AG-10,0.5,0.5
132,SB-COUT-02_B,Am-AG-4B,0.5,0.5
133,SB-COUT-02_B,Am-AG-11,0.5,0.5
134,SB-COUT-02_B,Am-CT-5,0.5,0.5
135,SB-COUT-02_B,Am-ATC-2,0.5,0.5
136,SB-COUT-02_B,Am-ATC-3,0.5,0.5
137,SB-COUT-02_B,Am-CT-2,0.5,0.5
138,SB-COUT-02_B,Am-AG-2B,0.5,0.5
139,SB-COUT-04_A,Arm01,0.5,0.5
140,SB-COUT-04_A,Arm02,0.5,0.5
141,SB-COUT-04_A,Arm03,0.5,0.5
142,SB-COUT-04_A,Arm04,0.5,0.5
143,SB-COUT-04_A,Arm05,0.5,0.5
144,SB-COUT-04_A,Arm06,0.5,0.5
145,SB-COUT-04_A,Arm07,0.5,0.5
146,SB-COUT-04_A,Arm08,0.5,0.5
147,SB-COUT-04_A,Arm09,0.5,0.5
148,SB-COUT-04_A,Arm10,0.5,0.5
149,SB-COUT-04_A,Arm11,0.5,0.5
150,SB-COUT-04_A,Armo01,0.5,0.5
151,SB-COUT-04_A,Armo02,0.5,0.5
152,SB-COUT-04_A,Armo03,0.5,0.5
153,SB-COUT-04_A,Am-AG-1,0.5,0.5
154,SB-COUT-04_A,Am-AG-10,0.5,0.5
155,SB-COUT-04_A,Am-AG-4B,0.5,0.5
156,SB-COUT-04_A,Am-AG-11,0.5,0.5
157,SB-COUT-04_A,Am-CT-5,0.5,0.5
158,SB-COUT-04_A,Am-ATC-2,0.5,0.5
159,SB-COUT-04_A,Am-ATC-3,0.5,0.5
160,SB-COUT-04_A,Am-CT-2,0.5,0.5
161,SB-COUT-04_A,Am-AG-2B,0.5,0.5
162,SB-COUT-04_B,Arm01,0.5,0.5
163,SB-COUT-04_B,Arm02,0.5,0.5
164,SB-COUT-04_B,Arm03,0.5,0.5
165,SB-COUT-04_B,Arm04,0.5,0.5
166,SB-COUT-04_B,Arm05,0.5,0.5
167,SB-COUT-04_B,Arm06,0.5,0.5
168,SB-COUT-04_B,Arm07,0.5,0.5
169,SB-COUT-04_B,Arm08,0.5,0.5
170,SB-COUT-04_B,Arm09,0.5,0.5
171,SB-COUT-04_B,Arm10,0.5,0.5
172,SB-COUT-04_B,Arm11,0.5,0.5
173,SB-COUT-04_B,Armo01,0.5,0.5
