Serial,Loci,Sample,Ploidy,Prob_AAAA,Prob_AAAB,Prob_AABB,Prob_AABC,Prob_ABCD
1,MSCB01,S0001-CB04B-20_S1_A,4,1.0,0.0,0.0,0.0,0.0
2,MSCB02,S0001-CB04B-20_S1_A,4,1.0,1.9909961234405606e-64,4.250745484325292e-147,0.0,0.0
3,MSCB03,S0001-CB04B-20_S1_A,4,0.0,0.0,0.0,0.0,0.0
4,MSCB04,S0001-CB04B-20_S1_A,4,0.0,0.0,0.0,0.0,1.0
5,MSCB05,S0001-CB04B-20_S1_A,4,0.0,0.9984941039614741,0.001505896038526068,0.0,0.0
6,MSCB06,S0001-CB04B-20_S1_A,4,0.0,0.0,0.0,0.0,0.0
7,MSCB07,S0001-CB04B-20_S1_A,4,0.2,0.2,0.2,0.2,0.2
8,MSCB08,S0001-CB04B-20_S1_A,4,0.0,0.0,0.0,0.0,0.0
9,MSCB09,S0001-CB04B-20_S1_A,4,0.2,0.2,0.2,0.2,0.2
10,MSCB10,S0001-CB04B-20_S1_A,4,1.0,1.585500941908556e-20,1.2547878940991836e-55,0.0,0.0
11,MSCB11,S0001-CB04B-20_S1_A,4,0.0,0.0,0.0,0.0,0.0
12,MSCB12,S0001-CB04B-20_S1_A,4,0.0,2.1187480733633345e-28,1.0,0.0,0.0
13,MSCB13,S0001-CB04B-20_S1_A,4,0.0,0.0,0.0,0.0,0.0
14,MSCB14,S0001-CB04B-20_S1_A,4,0.0,0.0,0.0,0.0,1.0
15,MSCB15,S0001-CB04B-20_S1_A,4,0.0,0.0,0.0,0.0,0.0
16,MSCB16,S0001-CB04B-20_S1_A,4,0.0,0.0,0.0,0.0,0.0
17,MSCB17,S0001-CB04B-20_S1_A,4,0.2,0.2,0.2,0.2,0.2
18,MSCB18,S0001-CB04B-20_S1_A,4,0.0,0.0,0.0,0.0,0.0
19,MSCB19,S0001-CB04B-20_S1_A,4,0.0,0.0,0.0,0.0,1.0
20,MSCB20,S0001-CB04B-20_S1_A,4,1.0,0.0,0.0,0.0,0.0
21,MSCB21,S0001-CB04B-20_S1_A,4,0.0,1.1292289905465778e-72,3.174323448442442e-104,1.0,0.0
22,MSCB22,S0001-CB04B-20_S1_A,4,0.2,0.2,0.2,0.2,0.2
23,MSCB23,S0001-CB04B-20_S1_A,4,0.0,0.0,0.0,0.0,0.0
24,MSCB24,S0001-CB04B-20_S1_A,4,0.2,0.2,0.2,0.2,0.2
25,MSCB25,S0001-CB04B-20_S1_A,4,0.0,0.0,0.0,1.0,0.0
