marker	unique_seqs	tPaired	fPaired	rPaired	tLeft	fLeft	rLeft	tRight	fRight	rRight
MSCB01	2	6	6	0	940	940	0	303	303	0
MSCB02	44	1217	1217	0	1239	1239	0	1285	1285	0
MSCB03	4	4	4	0	1416	1414	2	1522	1471	51
MSCB04	89	2675	2675	0	2698	2698	0	2824	2824	0
MSCB05	126	3714	2097	1617	3755	2100	1655	4164	2171	1993
MSCB06	0	0	0	0	20	20	0	34	34	0
MSCB07	14	178	178	0	194	194	0	179	179	0
MSCB08	0	0	0	0	2002	2000	2	1781	1781	0
MSCB09	26	29	29	0	254	254	0	184	184	0
MSCB10	37	1669	1669	0	2002	2000	2	1781	1781	0
MSCB11	0	0	0	0	678	678	0	1666	760	906
MSCB12	21	918	918	0	925	925	0	923	923	0
MSCB13	0	0	0	0	6	6	0	237	236	1
MSCB14	33	904	904	0	904	904	0	1011	1011	0
MSCB15	0	0	0	0	273	273	0	0	0	0
MSCB16	1	1	1	0	1	1	0	1	1	0
MSCB17	23	875	875	0	947	947	0	877	877	0
MSCB18	0	0	0	0	0	0	0	0	0	0
MSCB19	65	1119	0	1119	1522	51	1471	1416	2	1414
MSCB20	1	7	7	0	50	50	0	33	33	0
MSCB21	272	10574	10574	0	10663	10663	0	10591	10591	0
MSCB22	29	749	749	0	1241	1226	15	769	769	0
MSCB23	0	0	0	0	169	167	2	608	608	0
MSCB24	43	1182	1182	0	1265	1265	0	1201	1201	0
MSCB25	9	175	89	86	1666	906	760	179	93	86
MSCB26	37	1769	1769	0	1774	1774	0	1817	1817	0
MSCB27	41	1129	1129	0	1788	1786	2	1889	1889	0
MSCB28	0	0	0	0	106	106	0	70	70	0
MSCB29	0	0	0	0	0	0	0	762	762	0
MSCB30	1	10	10	0	678	678	0	1666	760	906
MSCB31	8	39	39	0	44	44	0	880	880	0
MSCB32	193	5210	5210	0	5213	5213	0	5216	5215	1
MSCB33	0	0	0	0	831	831	0	322	321	1
MSCB34	46	2652	2652	0	2653	2653	0	2911	2911	0
MSCB35	1	1	0	1	4165	1993	2172	3755	1655	2100
MSCB36	65	1398	1397	1	1491	1490	1	1422	1418	4
MSCB37	0	0	0	0	831	831	0	322	321	1
MSCB38	2	2	2	0	67	67	0	52	52	0

total reads	46304
unrecognised reads	1327
