marker	unique_seqs	tPaired	fPaired	rPaired	tLeft	fLeft	rLeft	tRight	fRight	rRight
MSCB01	69	1191	1191	0	2026	2026	0	1631	1629	2
MSCB02	2	2	2	0	152	151	1	305	305	0
MSCB03	1	207	0	207	220	6	214	803	208	595
MSCB04	88	851	851	0	875	873	2	914	914	0
MSCB05	314	4401	311	4090	4460	312	4148	4584	330	4254
MSCB06	80	1314	1314	0	1332	1332	0	1331	1330	1
MSCB07	4	6	6	0	11	11	0	8	7	1
MSCB08	0	0	0	0	940	919	21	753	749	4
MSCB09	39	540	540	0	672	669	3	682	682	0
MSCB10	54	719	719	0	940	919	21	753	749	4
MSCB11	0	0	0	0	456	456	0	393	373	20
MSCB12	71	1448	1448	0	1465	1452	13	1456	1456	0
MSCB13	36	272	272	0	735	734	1	296	296	0
MSCB14	278	7280	7280	0	7416	7410	6	7324	7284	40
MSCB15	0	0	0	0	156	156	0	25	25	0
MSCB16	1	1	1	0	9	9	0	118	118	0
MSCB17	38	757	757	0	763	763	0	761	760	1
MSCB18	4	6	6	0	196	193	3	180	180	0
MSCB19	1	1	0	1	803	595	208	220	214	6
MSCB20	149	5745	5745	0	5778	5777	1	5755	5753	2
MSCB21	434	8047	8047	0	8133	8133	0	8061	8059	2
MSCB22	127	2435	2435	0	2812	2807	5	2471	2471	0
MSCB23	7	25	25	0	78	76	2	608	608	0
MSCB24	59	937	937	0	1612	1611	1	944	944	0
MSCB25	1	1	0	1	393	20	373	84	81	3
MSCB26	10	127	127	0	274	269	5	948	948	0
MSCB27	127	2005	2005	0	2485	2482	3	2524	2523	1
MSCB28	0	0	0	0	64	64	0	275	274	1
MSCB29	0	0	0	0	10	6	4	223	223	0
MSCB30	0	0	0	0	456	456	0	393	373	20
MSCB31	0	0	0	0	395	392	3	60	60	0
MSCB32	65	781	781	0	784	784	0	786	786	0
MSCB33	0	0	0	0	326	326	0	400	400	0
MSCB34	100	2837	2837	0	2849	2848	1	3052	3052	0
MSCB35	1	1	1	0	4584	4254	330	4460	4148	312
MSCB36	271	5466	5465	1	5491	5490	1	5507	5504	3
MSCB37	6	60	60	0	326	326	0	400	400	0
MSCB38	105	1362	1362	0	1384	1384	0	1538	1538	0

total reads	57016
unrecognised reads	2341
