marker	unique_seqs	tPaired	fPaired	rPaired	tLeft	fLeft	rLeft	tRight	fRight	rRight
MSCB01	3	3	0	3	859	5	854	10	0	10
MSCB02	87	897	0	897	1436	1	1435	1075	0	1075
MSCB03	5	843	4	839	1536	689	847	1555	643	912
MSCB04	30	1081	0	1081	1089	2	1087	1128	0	1128
MSCB05	67	1912	1445	467	2243	1773	470	2483	1982	501
MSCB06	33	966	1	965	1060	4	1056	978	1	977
MSCB07	2	19	0	19	23	0	23	20	1	19
MSCB08	0	0	0	0	1044	4	1040	938	2	936
MSCB09	8	162	0	162	491	12	479	202	0	202
MSCB10	22	903	0	903	1044	4	1040	938	2	936
MSCB11	0	0	0	0	436	1	435	912	33	879
MSCB12	39	2098	0	2098	2106	0	2106	2109	2	2107
MSCB13	18	426	0	426	504	0	504	440	2	438
MSCB14	83	2501	0	2501	2650	2	2648	2527	0	2527
MSCB15	15	287	0	287	295	0	295	297	1	296
MSCB16	15	324	0	324	331	0	331	342	2	340
MSCB17	26	1316	0	1316	1320	0	1320	1320	0	1320
MSCB18	16	485	0	485	503	3	500	496	0	496
MSCB19	41	472	1	471	1555	912	643	1536	847	689
MSCB20	75	2244	0	2244	2356	17	2339	2250	1	2249
MSCB21	123	3886	0	3886	3917	2	3915	3901	0	3901
MSCB22	24	1150	0	1150	1689	10	1679	1157	1	1156
MSCB23	1	4	0	4	314	0	314	785	2	783
MSCB24	102	2631	0	2631	2692	19	2673	2671	10	2661
MSCB25	2	3	3	0	912	879	33	56	3	53
MSCB26	28	986	0	986	1053	2	1051	1505	1	1504
MSCB27	40	1624	0	1624	2165	11	2154	2206	3	2203
MSCB28	114	1830	2	1828	1853	3	1850	1955	3	1952
MSCB29	1	1	0	1	2	0	2	346	1	345
MSCB30	3	26	0	26	436	1	435	912	33	879
MSCB31	39	1640	0	1640	1817	0	1817	1662	3	1659
MSCB32	50	1156	0	1156	1161	0	1161	1162	1	1161
MSCB33	7	34	0	34	2312	7	2305	1918	2	1916
MSCB34	61	2403	0	2403	2410	0	2410	2604	2	2602
MSCB35	1	1	0	1	2484	501	1983	2243	470	1773
MSCB36	108	2927	0	2927	2974	0	2974	3237	21	3216
MSCB37	82	1865	0	1865	2312	7	2305	1918	2	1916
MSCB38	42	841	0	841	900	7	893	946	1	945

total reads	46874
unrecognised reads	951
