marker	unique_seqs	tPaired	fPaired	rPaired	tLeft	fLeft	rLeft	tRight	fRight	rRight
MSCB01	0	0	0	0	148	2	146	102	0	102
MSCB02	35	360	0	360	368	0	368	412	0	412
MSCB03	0	0	0	0	123	121	2	167	55	112
MSCB04	4	11	0	11	11	0	11	13	0	13
MSCB05	42	749	744	5	757	752	5	870	860	10
MSCB06	11	194	0	194	200	1	199	199	0	199
MSCB07	0	0	0	0	0	0	0	2	0	2
MSCB08	0	0	0	0	116	1	115	58	0	58
MSCB09	21	237	0	237	287	5	282	251	0	251
MSCB10	3	52	0	52	116	1	115	58	0	58
MSCB11	0	0	0	0	111	0	111	184	65	119
MSCB12	9	226	0	226	234	0	234	230	0	230
MSCB13	7	31	0	31	261	0	261	39	0	39
MSCB14	48	1196	0	1196	1257	0	1257	1209	0	1209
MSCB15	8	37	0	37	38	0	38	45	0	45
MSCB16	3	45	0	45	46	0	46	71	0	71
MSCB17	10	211	0	211	215	0	215	215	0	215
MSCB18	6	63	0	63	70	0	70	79	0	79
MSCB19	11	43	1	42	167	112	55	123	2	121
MSCB20	21	421	0	421	451	5	446	426	0	426
MSCB21	31	522	0	522	534	5	529	522	0	522
MSCB22	7	94	0	94	153	0	153	95	0	95
MSCB23	3	3	0	3	96	1	95	104	0	104
MSCB24	16	225	0	225	285	1	284	231	1	230
MSCB25	0	0	0	0	184	119	65	3	0	3
MSCB26	26	300	0	300	305	1	304	333	0	333
MSCB27	19	216	0	216	340	1	339	366	0	366
MSCB28	89	1357	0	1357	1382	1	1381	1404	0	1404
MSCB29	0	0	0	0	2	0	2	62	0	62
MSCB30	2	2	0	2	111	0	111	184	65	119
MSCB31	1	1	0	1	79	0	79	55	0	55
MSCB32	2	8	0	8	8	0	8	9	0	9
MSCB33	0	0	0	0	296	1	295	208	1	207
MSCB34	16	528	0	528	531	0	531	584	0	584
MSCB35	1	1	0	1	872	10	862	757	5	752
MSCB36	63	1192	0	1192	1227	0	1227	1217	1	1216
MSCB37	22	199	0	199	296	1	295	208	1	207
MSCB38	19	305	0	305	315	2	313	382	0	382

total reads	11111
unrecognised reads	899
