marker	unique_seqs	tPaired	fPaired	rPaired	tLeft	fLeft	rLeft	tRight	fRight	rRight
MSCB01	1	1	1	0	147	147	0	24	24	0
MSCB02	16	229	229	0	231	231	0	258	258	0
MSCB03	0	0	0	0	409	17	392	166	143	23
MSCB04	3	29	29	0	29	29	0	31	31	0
MSCB05	15	237	12	225	244	12	232	267	15	252
MSCB06	8	153	153	0	153	153	0	155	155	0
MSCB07	0	0	0	0	0	0	0	4	1	3
MSCB08	0	0	0	0	575	575	0	554	554	0
MSCB09	5	48	48	0	69	69	0	48	48	0
MSCB10	19	551	551	0	575	575	0	554	554	0
MSCB11	0	0	0	0	45	45	0	632	42	590
MSCB12	8	231	231	0	233	233	0	231	231	0
MSCB13	4	32	32	0	89	89	0	32	32	0
MSCB14	18	586	586	0	1010	1010	0	587	587	0
MSCB15	3	18	18	0	26	26	0	26	26	0
MSCB16	3	6	6	0	6	6	0	32	32	0
MSCB17	21	252	252	0	392	392	0	265	265	0
MSCB18	3	47	47	0	47	47	0	59	59	0
MSCB19	7	32	22	10	166	23	143	409	392	17
MSCB20	19	1535	1535	0	1535	1535	0	1536	1536	0
MSCB21	28	548	548	0	550	550	0	548	548	0
MSCB22	3	14	14	0	73	73	0	19	19	0
MSCB23	0	0	0	0	3	3	0	122	122	0
MSCB24	14	146	146	0	186	186	0	154	154	0
MSCB25	0	0	0	0	632	590	42	4	4	0
MSCB26	21	526	526	0	527	527	0	607	607	0
MSCB27	10	97	97	0	209	208	1	194	194	0
MSCB28	54	476	476	0	477	477	0	505	505	0
MSCB29	0	0	0	0	0	0	0	106	106	0
MSCB30	0	0	0	0	45	45	0	632	42	590
MSCB31	3	83	83	0	95	95	0	559	559	0
MSCB32	5	30	30	0	30	30	0	30	30	0
MSCB33	0	0	0	0	243	242	1	136	136	0
MSCB34	12	416	416	0	417	417	0	454	454	0
MSCB35	0	0	0	0	267	252	15	244	232	12
MSCB36	82	1758	1758	0	1763	1763	0	1762	1762	0
MSCB37	11	134	134	0	243	242	1	136	136	0
MSCB38	10	99	99	0	100	100	0	126	126	0

total reads	10169
unrecognised reads	85
