marker	unique_seqs	tPaired	fPaired	rPaired	tLeft	fLeft	rLeft	tRight	fRight	rRight
MSCB01	1	1	1	0	155	155	0	131	131	0
MSCB02	15	118	118	0	168	168	0	129	129	0
MSCB03	8	55	2	53	1282	338	944	503	376	127
MSCB04	4	32	32	0	32	32	0	36	36	0
MSCB05	24	266	8	258	289	8	281	337	10	327
MSCB06	18	246	246	0	252	252	0	256	256	0
MSCB07	0	0	0	0	1	1	0	7	3	4
MSCB08	0	0	0	0	140	134	6	88	87	1
MSCB09	25	152	152	0	269	268	1	207	207	0
MSCB10	8	37	37	0	140	134	6	88	87	1
MSCB11	0	0	0	0	110	110	0	173	107	66
MSCB12	7	92	92	0	94	92	2	93	93	0
MSCB13	4	18	18	0	155	154	1	21	21	0
MSCB14	61	874	874	0	1295	1294	1	879	874	5
MSCB15	7	33	33	0	48	46	2	52	51	1
MSCB16	1	22	22	0	23	23	0	650	649	1
MSCB17	7	50	50	0	106	106	0	51	51	0
MSCB18	9	88	88	0	117	117	0	92	92	0
MSCB19	51	356	51	305	503	127	376	1282	944	338
MSCB20	58	1269	1269	0	1361	1361	0	1273	1273	0
MSCB21	75	804	804	0	812	812	0	806	806	0
MSCB22	7	41	41	0	109	108	1	53	53	0
MSCB23	0	0	0	0	126	126	0	120	120	0
MSCB24	13	92	92	0	98	97	1	109	109	0
MSCB25	2	2	2	0	173	66	107	3	3	0
MSCB26	19	224	224	0	225	225	0	254	252	2
MSCB27	17	194	194	0	293	293	0	306	306	0
MSCB28	122	734	733	1	745	744	1	805	804	1
MSCB29	5	5	5	0	133	133	0	705	704	1
MSCB30	0	0	0	0	110	110	0	173	107	66
MSCB31	0	0	0	0	2	2	0	239	239	0
MSCB32	6	27	27	0	27	27	0	27	27	0
MSCB33	0	0	0	0	492	489	3	386	384	2
MSCB34	20	291	291	0	291	291	0	336	336	0
MSCB35	0	0	0	0	337	327	10	289	281	8
MSCB36	104	1254	1254	0	1286	1286	0	1280	1280	0
MSCB37	37	383	381	2	492	489	3	386	384	2
MSCB38	13	71	71	0	79	79	0	229	229	0

total reads	10359
unrecognised reads	233
