marker	unique_seqs	tPaired	fPaired	rPaired	tLeft	fLeft	rLeft	tRight	fRight	rRight
MSCB01	16	257	257	0	354	352	2	296	296	0
MSCB02	20	154	154	0	156	156	0	189	189	0
MSCB03	2	13	0	13	1320	592	728	670	593	77
MSCB04	9	16	16	0	18	16	2	20	20	0
MSCB05	69	811	2	809	819	2	817	879	5	874
MSCB06	10	110	110	0	120	120	0	151	151	0
MSCB07	0	0	0	0	0	0	0	3	2	1
MSCB08	0	0	0	0	130	128	2	36	35	1
MSCB09	22	105	105	0	181	176	5	189	189	0
MSCB10	3	14	14	0	130	128	2	36	35	1
MSCB11	0	0	0	0	52	51	1	87	67	20
MSCB12	16	148	148	0	150	148	2	149	149	0
MSCB13	3	15	15	0	136	136	0	21	21	0
MSCB14	64	876	876	0	1590	1589	1	889	882	7
MSCB15	15	45	45	0	160	159	1	186	186	0
MSCB16	5	6	6	0	33	33	0	492	491	1
MSCB17	13	129	129	0	153	153	0	131	130	1
MSCB18	6	61	61	0	124	124	0	200	200	0
MSCB19	69	566	7	559	670	77	593	1320	728	592
MSCB20	16	309	309	0	348	347	1	314	312	2
MSCB21	72	818	818	0	828	828	0	819	819	0
MSCB22	17	121	121	0	146	146	0	121	121	0
MSCB23	4	8	8	0	26	26	0	52	52	0
MSCB24	9	64	63	1	92	91	1	67	66	1
MSCB25	4	20	0	20	87	20	67	20	0	20
MSCB26	24	218	218	0	218	218	0	283	283	0
MSCB27	13	75	74	1	129	128	1	162	161	1
MSCB28	122	737	737	0	823	823	0	979	979	0
MSCB29	3	4	4	0	72	72	0	672	670	2
MSCB30	1	2	2	0	52	51	1	87	67	20
MSCB31	5	11	11	0	36	35	1	49	48	1
MSCB32	5	20	20	0	22	22	0	20	20	0
MSCB33	0	0	0	0	281	281	0	141	141	0
MSCB34	13	235	235	0	235	235	0	270	270	0
MSCB35	1	1	1	0	880	875	5	819	817	2
MSCB36	58	786	784	2	851	849	2	840	833	7
MSCB37	22	60	60	0	281	281	0	141	141	0
MSCB38	18	110	110	0	119	119	0	324	324	0

total reads	9686
unrecognised reads	338
