marker	unique_seqs	tPaired	fPaired	rPaired	tLeft	fLeft	rLeft	tRight	fRight	rRight
Am-AG-1	116	772	0	772	776	2	774	784	0	784
Am-AG-10	85	385	0	385	390	0	390	404	0	404
Am-AG-11	29	72	0	72	98	0	98	84	1	83
Am-AG-2B	5	14	0	14	460	0	460	447	0	447
Am-AG-4B	66	546	0	546	555	0	555	571	0	571
Am-ATC-2	2	4	0	4	7	0	7	1389	8	1381
Am-ATC-3	136	2008	0	2008	2109	0	2109	2030	2	2028
Am-CT-2	180	946	0	946	947	0	947	978	0	978
Am-CT-5	16	243	0	243	254	0	254	246	1	245
Arm01	85	962	0	962	1356	0	1356	1114	1	1113
Arm02	112	888	0	888	977	0	977	1122	3	1119
Arm03	2	6	0	6	754	0	754	15	1	14
Arm04	80	634	0	634	1318	0	1318	691	0	691
Arm05	79	951	0	951	951	0	951	960	0	960
Arm06	10	78	0	78	141	0	141	86	0	86
Arm07	3	19	0	19	19	0	19	21	0	21
Arm08	50	1126	0	1126	1129	0	1129	1131	0	1131
Arm09	1	1	0	1	5	0	5	492	1	491
Arm10	6	28	0	28	32	0	32	667	0	667
Arm11	120	1291	0	1291	1298	1	1297	1308	0	1308
Armo01	70	887	0	887	891	0	891	906	1	905
Armo02	0	0	0	0	0	0	0	503	0	503
Armo03	4	17	0	17	22	5	17	70	0	70

total reads	16569
unrecognised reads	82
