marker	unique_seqs	tPaired	fPaired	rPaired	tLeft	fLeft	rLeft	tRight	fRight	rRight
Am-AG-1	57	399	399	0	402	402	0	403	403	0
Am-AG-10	36	332	332	0	361	361	0	377	375	2
Am-AG-11	86	434	434	0	439	439	0	463	463	0
Am-AG-2B	10	24	24	0	161	161	0	156	156	0
Am-AG-4B	60	284	284	0	340	338	2	294	294	0
Am-ATC-2	8	19	19	0	45	45	0	366	365	1
Am-ATC-3	94	702	702	0	800	800	0	734	733	1
Am-CT-2	67	261	261	0	270	270	0	261	261	0
Am-CT-5	0	0	0	0	4	4	0	0	0	0
Arm01	31	425	425	0	561	561	0	524	524	0
Arm02	78	492	492	0	553	553	0	623	623	0
Arm03	13	97	97	0	228	228	0	151	151	0
Arm04	2	4	4	0	82	82	0	11	11	0
Arm05	9	16	16	0	16	16	0	20	20	0
Arm06	12	88	88	0	160	160	0	90	90	0
Arm07	1	2	2	0	3	3	0	320	318	2
Arm08	2	10	10	0	12	12	0	12	11	1
Arm09	0	0	0	0	1	0	1	86	86	0
Arm10	62	973	973	0	1034	1034	0	1164	1164	0
Arm11	41	340	340	0	654	654	0	342	342	0
Armo01	1	1	1	0	8	8	0	3	3	0
Armo02	0	0	0	0	2	1	1	120	119	1
Armo03	74	390	390	0	395	395	0	393	393	0

total reads	7178
unrecognised reads	44
