marker	unique_seqs	tPaired	fPaired	rPaired	tLeft	fLeft	rLeft	tRight	fRight	rRight
Am-AG-1	142	820	0	820	820	0	820	833	0	833
Am-AG-10	40	216	0	216	220	1	219	230	0	230
Am-AG-11	18	45	0	45	48	0	48	68	0	68
Am-AG-2B	7	37	0	37	284	0	284	333	0	333
Am-AG-4B	11	26	0	26	34	0	34	32	1	31
Am-ATC-2	5	19	0	19	19	0	19	1234	2	1232
Am-ATC-3	291	3246	0	3246	3359	1	3358	3302	0	3302
Am-CT-2	501	1685	0	1685	1693	1	1692	1762	0	1762
Am-CT-5	0	0	0	0	0	0	0	1	1	0
Arm01	8	35	0	35	699	5	694	40	0	40
Arm02	195	1871	0	1871	1878	2	1876	1894	2	1892
Arm03	1	1	0	1	416	5	411	1	0	1
Arm04	3	4	0	4	7	0	7	6	0	6
Arm05	18	103	0	103	103	0	103	103	0	103
Arm06	3	7	0	7	8	0	8	8	0	8
Arm07	0	0	0	0	0	0	0	1	0	1
Arm08	11	71	0	71	72	1	71	72	1	71
Arm09	2	3	0	3	8	0	8	136	3	133
Arm10	175	2547	1	2546	2556	1	2555	2559	1	2558
Arm11	22	160	0	160	160	0	160	162	0	162
Armo01	19	100	0	100	100	0	100	101	0	101
Armo02	0	0	0	0	2	1	1	309	1	308
Armo03	30	122	0	122	125	1	124	462	0	462

total reads	14283
unrecognised reads	59
