marker	unique_seqs	tPaired	fPaired	rPaired	tLeft	fLeft	rLeft	tRight	fRight	rRight
Am-AG-1	231	1336	0	1336	1348	1	1347	1357	1	1356
Am-AG-10	210	1201	0	1201	1220	3	1217	1291	0	1291
Am-AG-11	380	2069	0	2069	2083	0	2083	2113	6	2107
Am-AG-2B	2	2	0	2	168	0	168	777	1	776
Am-AG-4B	181	1396	0	1396	1423	0	1423	1425	1	1424
Am-ATC-2	3	7	0	7	7	0	7	1053	11	1042
Am-ATC-3	168	1750	0	1750	2436	0	2436	1793	1	1792
Am-CT-2	152	690	0	690	692	0	692	704	0	704
Am-CT-5	0	0	0	0	4	0	4	1	1	0
Arm01	4	17	0	17	104	1	103	17	0	17
Arm02	142	1266	1	1265	1275	1	1274	1275	1	1274
Arm03	8	55	0	55	525	0	525	67	1	66
Arm04	5	6	0	6	17	0	17	6	0	6
Arm05	44	478	0	478	478	0	478	486	1	485
Arm06	39	324	0	324	331	0	331	335	0	335
Arm07	0	0	0	0	1	0	1	0	0	0
Arm08	2	6	0	6	6	0	6	6	0	6
Arm09	58	363	0	363	370	1	369	621	0	621
Arm10	82	1296	0	1296	1305	0	1305	1324	1	1323
Arm11	59	504	1	503	505	1	504	507	1	506
Armo01	3	18	0	18	19	0	19	18	0	18
Armo02	0	0	0	0	1	0	1	374	0	374
Armo03	145	1171	0	1171	1178	2	1176	1267	0	1267

total reads	17084
unrecognised reads	73
