marker	unique_seqs	tPaired	fPaired	rPaired	tLeft	fLeft	rLeft	tRight	fRight	rRight
Am-AG-1	192	1582	1582	0	1594	1594	0	1594	1594	0
Am-AG-10	100	1003	1003	0	1022	1022	0	1030	1029	1
Am-AG-11	169	1466	1466	0	1492	1492	0	1550	1550	0
Am-AG-2B	22	183	183	0	558	558	0	507	507	0
Am-AG-4B	37	275	275	0	306	306	0	287	286	1
Am-ATC-2	50	305	305	0	339	339	0	764	763	1
Am-ATC-3	141	1601	1601	0	1668	1668	0	1653	1653	0
Am-CT-2	225	1315	1315	0	1371	1371	0	1379	1379	0
Am-CT-5	11	52	52	0	62	62	0	52	52	0
Arm01	13	43	43	0	646	646	0	49	48	1
Arm02	111	1417	1417	0	1422	1422	0	1426	1426	0
Arm03	0	0	0	0	203	203	0	0	0	0
Arm04	4	37	37	0	242	240	2	40	40	0
Arm05	2	7	7	0	10	10	0	75	75	0
Arm06	1	1	1	0	1	1	0	1	1	0
Arm07	0	0	0	0	1	1	0	195	192	3
Arm08	10	98	98	0	106	106	0	306	306	0
Arm09	5	54	54	0	57	57	0	469	469	0
Arm10	13	38	38	0	284	284	0	211	211	0
Arm11	83	739	739	0	925	925	0	740	740	0
Armo01	6	31	31	0	37	37	0	38	35	3
Armo02	1	7	7	0	7	7	0	200	200	0
Armo03	29	141	141	0	144	144	0	371	371	0

total reads	13063
unrecognised reads	7
