marker	unique_seqs	tPaired	fPaired	rPaired	tLeft	fLeft	rLeft	tRight	fRight	rRight
Am-AG-1	276	1567	0	1567	1574	0	1574	1594	0	1594
Am-AG-10	157	988	0	988	1000	1	999	1038	0	1038
Am-AG-11	278	1462	0	1462	1477	0	1477	1563	1	1562
Am-AG-2B	22	186	0	186	550	0	550	508	0	508
Am-AG-4B	52	269	0	269	298	0	298	289	0	289
Am-ATC-2	46	300	0	300	334	0	334	765	3	762
Am-ATC-3	156	1595	0	1595	1658	0	1658	1653	1	1652
Am-CT-2	294	1297	0	1297	1345	0	1345	1385	0	1385
Am-CT-5	8	50	0	50	61	0	61	51	0	51
Arm01	12	42	0	42	644	0	644	47	1	46
Arm02	131	1403	0	1403	1404	0	1404	1428	1	1427
Arm03	0	0	0	0	202	0	202	0	0	0
Arm04	4	36	0	36	232	0	232	39	0	39
Arm05	4	7	0	7	10	0	10	74	0	74
Arm06	1	1	0	1	1	0	1	1	0	1
Arm07	0	0	0	0	0	0	0	194	3	191
Arm08	8	98	0	98	107	1	106	303	0	303
Arm09	6	52	0	52	57	1	56	466	0	466
Arm10	14	38	0	38	281	0	281	210	0	210
Arm11	81	738	0	738	919	0	919	744	0	744
Armo01	7	31	0	31	37	0	37	38	3	35
Armo02	1	7	0	7	7	0	7	200	0	200
Armo03	30	139	0	139	146	4	142	369	1	368

total reads	13063
unrecognised reads	41
