marker	unique_seqs	tPaired	fPaired	rPaired	tLeft	fLeft	rLeft	tRight	fRight	rRight
Am-AG-1	169	1251	1251	0	1264	1264	0	1253	1253	0
Am-AG-10	53	582	582	0	594	594	0	605	603	2
Am-AG-11	262	1727	1727	0	1756	1755	1	1734	1733	1
Am-AG-2B	109	779	779	0	790	790	0	782	782	0
Am-AG-4B	159	1045	1045	0	1064	1063	1	1048	1048	0
Am-ATC-2	22	110	110	0	115	115	0	248	248	0
Am-ATC-3	121	769	769	0	775	775	0	774	774	0
Am-CT-2	146	824	824	0	836	836	0	826	826	0
Am-CT-5	1	3	3	0	6	5	1	3	3	0
Arm01	53	449	449	0	489	486	3	486	486	0
Arm02	91	566	566	0	606	606	0	596	596	0
Arm03	16	97	97	0	196	196	0	109	109	0
Arm04	63	408	408	0	568	568	0	468	468	0
Arm05	86	749	749	0	757	757	0	756	756	0
Arm06	7	38	38	0	45	45	0	42	42	0
Arm07	13	86	86	0	88	88	0	93	93	0
Arm08	4	16	16	0	234	234	0	18	18	0
Arm09	15	94	94	0	94	94	0	144	144	0
Arm10	92	786	786	0	852	852	0	1003	1003	0
Arm11	55	452	452	0	456	456	0	453	453	0
Armo01	10	49	49	0	52	52	0	286	286	0
Armo02	1	1	1	0	1	1	0	46	46	0
Armo03	62	386	386	0	390	390	0	390	390	0

total reads	12261
unrecognised reads	7
