marker	unique_seqs	tPaired	fPaired	rPaired	tLeft	fLeft	rLeft	tRight	fRight	rRight
Am-AG-1	164	1241	0	1241	1250	0	1250	1253	0	1253
Am-AG-10	66	580	0	580	588	0	588	608	0	608
Am-AG-11	275	1721	0	1721	1743	0	1743	1739	2	1737
Am-AG-2B	84	775	0	775	786	0	786	781	0	781
Am-AG-4B	133	1039	0	1039	1051	0	1051	1056	0	1056
Am-ATC-2	20	109	0	109	113	0	113	251	5	246
Am-ATC-3	107	760	0	760	768	0	768	770	0	770
Am-CT-2	136	816	0	816	819	0	819	832	0	832
Am-CT-5	1	3	0	3	5	0	5	3	0	3
Arm01	44	446	0	446	480	1	479	488	0	488
Arm02	77	560	0	560	599	0	599	594	0	594
Arm03	9	97	0	97	195	0	195	111	0	111
Arm04	50	403	0	403	537	0	537	465	0	465
Arm05	68	728	0	728	750	0	750	738	0	738
Arm06	7	38	0	38	44	0	44	43	0	43
Arm07	11	85	0	85	86	0	86	90	0	90
Arm08	3	15	0	15	98	0	98	16	0	16
Arm09	13	92	0	92	92	0	92	144	0	144
Arm10	78	738	0	738	842	0	842	920	0	920
Arm11	43	444	0	444	454	0	454	449	0	449
Armo01	12	50	0	50	51	0	51	134	0	134
Armo02	1	1	0	1	1	0	1	45	0	45
Armo03	47	385	0	385	390	0	390	390	0	390

total reads	12261
unrecognised reads	208
