marker	unique_seqs	tPaired	fPaired	rPaired	tLeft	fLeft	rLeft	tRight	fRight	rRight
Am-AG-1	247	2575	2575	0	2593	2593	0	2667	2666	1
Am-AG-10	8	41	41	0	43	43	0	47	46	1
Am-AG-11	12	41	41	0	648	648	0	218	217	1
Am-AG-2B	1	2	2	0	10	10	0	280	280	0
Am-AG-4B	160	1914	1914	0	2245	2244	1	1949	1948	1
Am-ATC-2	2	3	3	0	4	4	0	145	143	2
Am-ATC-3	94	733	733	0	737	736	1	785	785	0
Am-CT-2	109	676	676	0	682	682	0	681	680	1
Am-CT-5	8	53	53	0	412	411	1	370	370	0
Arm01	28	176	176	0	531	531	0	183	183	0
Arm02	76	763	763	0	774	773	1	770	770	0
Arm03	0	0	0	0	403	403	0	0	0	0
Arm04	1	1	1	0	4	4	0	47	46	1
Arm05	0	0	0	0	0	0	0	0	0	0
Arm06	0	0	0	0	0	0	0	0	0	0
Arm07	0	0	0	0	0	0	0	1	1	0
Arm08	0	0	0	0	0	0	0	1	1	0
Arm09	0	0	0	0	0	0	0	237	237	0
Arm10	5	11	11	0	63	63	0	23	22	1
Arm11	0	0	0	0	0	0	0	3	3	0
Armo01	0	0	0	0	1	1	0	0	0	0
Armo02	0	0	0	0	1	1	0	508	507	1
Armo03	0	0	0	0	0	0	0	8	8	0

total reads	10006
unrecognised reads	129
