marker	unique_seqs	tPaired	fPaired	rPaired	tLeft	fLeft	rLeft	tRight	fRight	rRight
Am-AG-1	298	1802	0	1802	1810	0	1810	1831	1	1830
Am-AG-10	26	263	0	263	265	0	265	271	0	271
Am-AG-11	261	1733	0	1733	1738	0	1738	1754	6	1748
Am-AG-2B	275	2195	0	2195	2196	0	2196	2228	1	2227
Am-AG-4B	157	1452	0	1452	1456	0	1456	1466	0	1466
Am-ATC-2	237	1436	0	1436	1796	0	1796	1474	0	1474
Am-ATC-3	44	306	0	306	312	0	312	668	0	668
Am-CT-2	125	649	0	649	652	0	652	663	0	663
Am-CT-5	1	1	0	1	3	0	3	1	0	1
Arm01	92	1046	0	1046	1114	1	1113	1139	0	1139
Arm02	192	1601	0	1601	1639	0	1639	1662	0	1662
Arm03	8	73	0	73	283	1	282	80	0	80
Arm04	141	665	0	665	817	0	817	802	0	802
Arm05	135	1151	0	1151	1151	0	1151	1162	0	1162
Arm06	8	47	0	47	49	0	49	48	0	48
Arm07	0	0	0	0	0	0	0	0	0	0
Arm08	4	31	0	31	32	1	31	31	0	31
Arm09	13	74	0	74	74	0	74	74	0	74
Arm10	148	1394	0	1394	1556	0	1556	1565	0	1565
Arm11	101	1136	0	1136	1142	1	1141	1152	0	1152
Armo01	16	64	0	64	64	0	64	66	0	66
Armo02	0	0	0	0	175	0	175	378	0	378
Armo03	110	690	0	690	692	1	691	700	0	700

total reads	19267
unrecognised reads	45
