marker	unique_seqs	tPaired	fPaired	rPaired	tLeft	fLeft	rLeft	tRight	fRight	rRight
Am-AG-1	147	924	1	923	928	2	926	937	1	936
Am-AG-10	7	54	0	54	57	2	55	70	0	70
Am-AG-11	10	34	0	34	46	0	46	45	1	44
Am-AG-2B	434	5315	0	5315	5323	1	5322	5461	0	5461
Am-AG-4B	6	26	0	26	38	0	38	31	0	31
Am-ATC-2	0	0	0	0	655	0	655	1541	8	1533
Am-ATC-3	46	302	0	302	1320	0	1320	1350	1	1349
Am-CT-2	1	6	0	6	1030	0	1030	656	0	656
Am-CT-5	211	3419	0	3419	3427	0	3427	3462	0	3462
Arm01	184	3108	0	3108	3440	1	3439	3592	0	3592
Arm02	234	2156	0	2156	2280	1	2279	2282	3	2279
Arm03	2	13	0	13	62	1	61	18	0	18
Arm04	349	2976	2	2974	2990	2	2988	3014	2	3012
Arm05	23	160	0	160	161	0	161	164	0	164
Arm06	3	8	0	8	9	0	9	10	0	10
Arm07	0	0	0	0	0	0	0	0	0	0
Arm08	5	51	0	51	52	1	51	54	2	52
Arm09	4	7	0	7	8	0	8	51	1	50
Arm10	436	3208	0	3208	3661	0	3661	3608	0	3608
Arm11	143	1365	0	1365	1370	0	1370	1378	0	1378
Armo01	7	20	0	20	20	0	20	20	0	20
Armo02	2	669	0	669	671	0	671	677	0	677
Armo03	8	21	0	21	25	3	22	22	0	22

total reads	28522
unrecognised reads	76
