marker	unique_seqs	tPaired	fPaired	rPaired	tLeft	fLeft	rLeft	tRight	fRight	rRight
Am-AG-1	137	640	640	0	650	650	0	648	648	0
Am-AG-10	39	237	237	0	240	240	0	244	243	1
Am-AG-11	176	872	872	0	889	888	1	876	876	0
Am-AG-2B	0	0	0	0	0	0	0	1	1	0
Am-AG-4B	112	589	589	0	599	599	0	591	591	0
Am-ATC-2	1	1	1	0	1	1	0	1	1	0
Am-ATC-3	1	1	1	0	1	1	0	1	1	0
Am-CT-2	0	0	0	0	0	0	0	0	0	0
Am-CT-5	0	0	0	0	1	1	0	6	6	0
Arm01	10	81	81	0	96	96	0	95	95	0
Arm02	49	270	270	0	281	281	0	271	271	0
Arm03	1	1	1	0	2	2	0	1	1	0
Arm04	45	185	185	0	188	188	0	185	185	0
Arm05	0	0	0	0	0	0	0	0	0	0
Arm06	0	0	0	0	2	2	0	0	0	0
Arm07	0	0	0	0	0	0	0	0	0	0
Arm08	0	0	0	0	1	0	1	0	0	0
Arm09	0	0	0	0	0	0	0	0	0	0
Arm10	36	300	300	0	303	303	0	301	301	0
Arm11	11	64	64	0	64	64	0	64	64	0
Armo01	0	0	0	0	6	6	0	6	6	0
Armo02	0	0	0	0	0	0	0	14	14	0
Armo03	0	0	0	0	0	0	0	0	0	0

total reads	3328
unrecognised reads	1
