marker	unique_seqs	tPaired	fPaired	rPaired	tLeft	fLeft	rLeft	tRight	fRight	rRight
Am-AG-1	386	5318	5317	1	5330	5329	1	5823	5822	1
Am-AG-10	147	2688	2688	0	2769	2769	0	2810	2809	1
Am-AG-11	521	5322	5321	1	5898	5897	1	5417	5404	13
Am-AG-2B	261	3390	3390	0	3517	3517	0	3432	3432	0
Am-AG-4B	414	3782	3781	1	3958	3956	2	3822	3819	3
Am-ATC-2	73	527	527	0	553	552	1	2055	2055	0
Am-ATC-3	230	3157	3157	0	3187	3186	1	3181	3181	0
Am-CT-2	365	2165	2165	0	2206	2206	0	2170	2170	0
Am-CT-5	2	4	4	0	50	50	0	4	4	0
Arm01	8	22	22	0	40	39	1	28	26	2
Arm02	52	438	438	0	466	466	0	462	462	0
Arm03	1	1	1	0	577	577	0	1	1	0
Arm04	121	1039	1039	0	1071	1071	0	1098	1098	0
Arm05	27	207	207	0	207	207	0	207	207	0
Arm06	1	1	1	0	1	1	0	1	1	0
Arm07	0	0	0	0	1	0	1	0	0	0
Arm08	3	8	8	0	8	8	0	8	8	0
Arm09	1	1	1	0	4	4	0	124	123	1
Arm10	103	2466	2466	0	2510	2510	0	2493	2493	0
Arm11	114	966	966	0	975	974	1	966	966	0
Armo01	6	11	11	0	11	11	0	18	18	0
Armo02	0	0	0	0	0	0	0	460	460	0
Armo03	2	8	8	0	8	8	0	24	24	0

total reads	34973
unrecognised reads	11
