marker	unique_seqs	tPaired	fPaired	rPaired	tLeft	fLeft	rLeft	tRight	fRight	rRight
Am-AG-1	59	554	554	0	561	561	0	562	562	0
Am-AG-10	5	46	46	0	46	46	0	53	52	1
Am-AG-11	8	27	27	0	148	148	0	250	250	0
Am-AG-2B	125	1244	1244	0	1260	1260	0	1283	1283	0
Am-AG-4B	15	75	75	0	78	78	0	77	76	1
Am-ATC-2	9	44	44	0	493	493	0	45	44	1
Am-ATC-3	3	8	8	0	8	8	0	459	458	1
Am-CT-2	24	101	101	0	101	101	0	102	102	0
Am-CT-5	77	1318	1318	0	1437	1436	1	1318	1318	0
Arm01	0	0	0	0	0	0	0	0	0	0
Arm02	1	1	1	0	1	1	0	2	2	0
Arm03	0	0	0	0	0	0	0	0	0	0
Arm04	0	0	0	0	0	0	0	28	28	0
Arm05	0	0	0	0	0	0	0	0	0	0
Arm06	0	0	0	0	0	0	0	0	0	0
Arm07	0	0	0	0	0	0	0	0	0	0
Arm08	5	21	21	0	21	21	0	22	22	0
Arm09	0	0	0	0	0	0	0	0	0	0
Arm10	92	1489	1489	0	1523	1523	0	1489	1489	0
Arm11	30	247	247	0	247	247	0	247	247	0
Armo01	0	0	0	0	0	0	0	0	0	0
Armo02	0	0	0	0	1	1	0	0	0	0
Armo03	0	0	0	0	0	0	0	0	0	0

total reads	6156
unrecognised reads	9
