marker	unique_seqs	tPaired	fPaired	rPaired	tLeft	fLeft	rLeft	tRight	fRight	rRight
Am-AG-1	104	593	0	593	593	0	593	604	0	604
Am-AG-10	16	67	0	67	68	0	68	69	0	69
Am-AG-11	56	202	0	202	203	0	203	218	1	217
Am-AG-2B	6	23	0	23	23	0	23	26	0	26
Am-AG-4B	40	177	0	177	183	0	183	182	0	182
Am-ATC-2	0	0	0	0	0	0	0	202	0	202
Am-ATC-3	1	1	0	1	3	0	3	1	0	1
Am-CT-2	1	1	0	1	1	0	1	1	0	1
Am-CT-5	0	0	0	0	1	0	1	1	0	1
Arm01	27	219	0	219	220	0	220	232	0	232
Arm02	19	86	0	86	92	0	92	89	0	89
Arm03	0	0	0	0	0	0	0	0	0	0
Arm04	2	6	0	6	9	0	9	7	0	7
Arm05	1	3	0	3	4	0	4	3	0	3
Arm06	0	0	0	0	0	0	0	0	0	0
Arm07	0	0	0	0	0	0	0	1	0	1
Arm08	1	1	0	1	1	0	1	1	0	1
Arm09	0	0	0	0	0	0	0	1	1	0
Arm10	76	1017	0	1017	1022	0	1022	1031	0	1031
Arm11	13	46	0	46	48	0	48	47	0	47
Armo01	2	2	0	2	2	0	2	2	0	2
Armo02	0	0	0	0	0	0	0	0	0	0
Armo03	1	1	0	1	1	0	1	1	0	1

total reads	2732
unrecognised reads	11
