marker	unique_seqs	tPaired	fPaired	rPaired	tLeft	fLeft	rLeft	tRight	fRight	rRight
Am-AG-1	167	1486	1486	0	1502	1502	0	1500	1500	0
Am-AG-10	85	890	890	0	899	899	0	925	921	4
Am-AG-11	212	1743	1743	0	1761	1760	1	1750	1747	3
Am-AG-2B	254	2106	2104	2	2154	2152	2	2114	2112	2
Am-AG-4B	166	1275	1275	0	1311	1311	0	1282	1282	0
Am-ATC-2	3	34	34	0	79	79	0	985	984	1
Am-ATC-3	216	1637	1637	0	1646	1646	0	1683	1683	0
Am-CT-2	194	1071	1071	0	1089	1089	0	1078	1078	0
Am-CT-5	0	0	0	0	4	3	1	2	2	0
Arm01	151	1018	1018	0	1158	1157	1	1108	1108	0
Arm02	160	1741	1741	0	1834	1834	0	1814	1814	0
Arm03	5	36	36	0	483	483	0	39	39	0
Arm04	1	2	2	0	4	4	0	2	2	0
Arm05	1	1	1	0	1	1	0	2	2	0
Arm06	6	38	38	0	43	43	0	39	39	0
Arm07	0	0	0	0	0	0	0	0	0	0
Arm08	3	20	20	0	20	20	0	20	20	0
Arm09	2	4	4	0	4	4	0	297	297	0
Arm10	33	324	324	0	326	326	0	328	327	1
Arm11	1	1	1	0	3	3	0	1	1	0
Armo01	0	0	0	0	0	0	0	1	0	1
Armo02	0	0	0	0	0	0	0	161	161	0
Armo03	9	35	35	0	37	37	0	40	40	0

total reads	15328
unrecognised reads	6
