marker	unique_seqs	tPaired	fPaired	rPaired	tLeft	fLeft	rLeft	tRight	fRight	rRight
Am-AG-1	212	1473	0	1473	1483	0	1483	1501	0	1501
Am-AG-10	124	886	0	886	892	0	892	922	0	922
Am-AG-11	258	1725	0	1725	1739	0	1739	1750	1	1749
Am-AG-2B	312	2091	2	2089	2120	2	2118	2133	2	2131
Am-AG-4B	198	1266	0	1266	1296	0	1296	1285	0	1285
Am-ATC-2	3	34	0	34	77	0	77	980	3	977
Am-ATC-3	230	1629	0	1629	1633	0	1633	1690	2	1688
Am-CT-2	263	1066	0	1066	1067	0	1067	1092	0	1092
Am-CT-5	0	0	0	0	3	0	3	2	0	2
Arm01	190	981	0	981	1061	1	1060	1161	0	1161
Arm02	194	1721	0	1721	1803	0	1803	1816	1	1815
Arm03	5	36	0	36	482	0	482	39	0	39
Arm04	1	2	0	2	5	0	5	2	0	2
Arm05	1	1	0	1	1	0	1	2	0	2
Arm06	6	38	0	38	42	0	42	40	0	40
Arm07	0	0	0	0	0	0	0	0	0	0
Arm08	3	20	0	20	21	1	20	21	1	20
Arm09	2	4	0	4	5	1	4	298	1	297
Arm10	34	324	0	324	326	0	326	328	0	328
Arm11	1	1	0	1	3	0	3	1	0	1
Armo01	0	0	0	0	0	0	0	0	0	0
Armo02	0	0	0	0	0	0	0	161	0	161
Armo03	9	35	0	35	35	0	35	40	0	40

total reads	15328
unrecognised reads	42
