marker	unique_seqs	tPaired	fPaired	rPaired	tLeft	fLeft	rLeft	tRight	fRight	rRight
Am-AG-1	345	2712	1	2711	2721	1	2720	2730	1	2729
Am-AG-10	177	1630	0	1630	1658	1	1657	1694	0	1694
Am-AG-11	440	3304	1	3303	3349	3	3346	3407	8	3399
Am-AG-2B	162	1381	0	1381	1824	0	1824	1412	0	1412
Am-AG-4B	239	2093	0	2093	2130	0	2130	2138	0	2138
Am-ATC-2	272	1778	0	1778	1826	0	1826	1827	5	1822
Am-ATC-3	133	1575	1	1574	1597	1	1596	1635	2	1633
Am-CT-2	339	1212	0	1212	1215	1	1214	1264	0	1264
Am-CT-5	1	1	0	1	70	0	70	3	2	1
Arm01	6	26	0	26	236	0	236	27	0	27
Arm02	126	891	0	891	902	0	902	932	0	932
Arm03	1	1	0	1	550	0	550	1	0	1
Arm04	37	125	0	125	1299	0	1299	174	0	174
Arm05	176	1833	0	1833	1839	0	1839	1861	0	1861
Arm06	1	1	0	1	9	0	9	2	0	2
Arm07	0	0	0	0	0	0	0	31	0	31
Arm08	2	2	0	2	14	0	14	21	2	19
Arm09	1	4	0	4	5	0	5	380	0	380
Arm10	55	774	0	774	846	0	846	1982	0	1982
Arm11	115	1165	0	1165	1172	0	1172	1176	0	1176
Armo01	20	146	0	146	150	0	150	149	0	149
Armo02	0	0	0	0	14	1	13	236	0	236
Armo03	2	6	0	6	12	2	10	33	0	33

total reads	24028
unrecognised reads	180
