marker	unique_seqs	tPaired	fPaired	rPaired	tLeft	fLeft	rLeft	tRight	fRight	rRight
Am-AG-1	288	2147	2147	0	2176	2176	0	2161	2161	0
Am-AG-10	24	231	231	0	235	235	0	232	232	0
Am-AG-11	160	1217	1217	0	1238	1238	0	1294	1292	2
Am-AG-2B	48	379	379	0	381	381	0	390	390	0
Am-AG-4B	177	1603	1603	0	1635	1634	1	1616	1616	0
Am-ATC-2	0	0	0	0	0	0	0	1364	1364	0
Am-ATC-3	4	14	14	0	14	14	0	20	20	0
Am-CT-2	4	8	8	0	8	8	0	8	8	0
Am-CT-5	1	1	1	0	9	8	1	14	13	1
Arm01	2	13	13	0	392	392	0	17	16	1
Arm02	219	2150	2150	0	2201	2201	0	2609	2609	0
Arm03	2	4	4	0	557	557	0	5	5	0
Arm04	4	23	23	0	214	213	1	24	24	0
Arm05	4	12	12	0	12	12	0	14	14	0
Arm06	3	9	9	0	9	9	0	10	10	0
Arm07	0	0	0	0	0	0	0	0	0	0
Arm08	3	7	7	0	7	7	0	8	8	0
Arm09	2	3	3	0	3	3	0	13	13	0
Arm10	152	1476	1476	0	1519	1519	0	1701	1701	0
Arm11	4	31	31	0	31	31	0	31	31	0
Armo01	0	0	0	0	0	0	0	0	0	0
Armo02	0	0	0	0	1	1	0	545	545	0
Armo03	6	25	25	0	72	72	0	25	25	0

total reads	12177
unrecognised reads	15
