marker	unique_seqs	tPaired	fPaired	rPaired	tLeft	fLeft	rLeft	tRight	fRight	rRight
Am-AG-1	461	2108	0	2108	2115	0	2115	2174	1	2173
Am-AG-10	36	228	0	228	232	0	232	236	0	236
Am-AG-11	210	1213	0	1213	1229	0	1229	1300	1	1299
Am-AG-2B	59	378	0	378	378	0	378	389	0	389
Am-AG-4B	210	1598	0	1598	1625	0	1625	1618	0	1618
Am-ATC-2	0	0	0	0	1	0	1	1359	2	1357
Am-ATC-3	5	14	0	14	15	1	14	15	0	15
Am-CT-2	5	8	0	8	8	0	8	8	0	8
Am-CT-5	1	1	0	1	9	0	9	15	2	13
Arm01	2	13	0	13	390	0	390	17	0	17
Arm02	284	2138	0	2138	2181	0	2181	2610	1	2609
Arm03	2	4	0	4	556	0	556	5	0	5
Arm04	6	23	0	23	213	0	213	24	0	24
Arm05	5	12	0	12	13	0	13	14	0	14
Arm06	4	9	0	9	9	0	9	10	1	9
Arm07	0	0	0	0	0	0	0	0	0	0
Arm08	3	7	0	7	7	0	7	7	0	7
Arm09	2	3	0	3	4	0	4	14	1	13
Arm10	190	1467	0	1467	1505	0	1505	1702	0	1702
Arm11	5	31	0	31	32	0	32	31	0	31
Armo01	0	0	0	0	0	0	0	0	0	0
Armo02	0	0	0	0	0	0	0	543	0	543
Armo03	6	24	0	24	70	1	69	25	0	25

total reads	12177
unrecognised reads	51
