marker	unique_seqs	tPaired	fPaired	rPaired	tLeft	fLeft	rLeft	tRight	fRight	rRight
Am-AG-1	196	2116	2116	0	2135	2135	0	2136	2136	0
Am-AG-10	35	842	842	0	851	851	0	876	873	3
Am-AG-11	88	920	920	0	930	929	1	1062	1060	2
Am-AG-2B	119	1551	1551	0	1574	1574	0	1574	1574	0
Am-AG-4B	76	640	640	0	707	707	0	647	646	1
Am-ATC-2	0	0	0	0	0	0	0	677	676	1
Am-ATC-3	5	19	19	0	23	21	2	20	19	1
Am-CT-2	0	0	0	0	1	1	0	292	292	0
Am-CT-5	2	3	3	0	10	9	1	3	3	0
Arm01	87	2826	2826	0	2965	2965	0	2953	2952	1
Arm02	195	3082	3082	0	3220	3220	0	3215	3215	0
Arm03	6	91	91	0	1272	1271	1	117	117	0
Arm04	3	3	3	0	5	5	0	3	3	0
Arm05	0	0	0	0	0	0	0	0	0	0
Arm06	25	374	374	0	411	411	0	391	391	0
Arm07	0	0	0	0	0	0	0	0	0	0
Arm08	0	0	0	0	0	0	0	1	1	0
Arm09	11	184	184	0	189	188	1	866	866	0
Arm10	5	8	8	0	9	9	0	10	10	0
Arm11	0	0	0	0	2	0	2	1	1	0
Armo01	0	0	0	0	0	0	0	0	0	0
Armo02	0	0	0	0	1	1	0	620	618	2
Armo03	125	1063	1063	0	1076	1075	1	1074	1074	0

total reads	16625
unrecognised reads	9
