marker	unique_seqs	tPaired	fPaired	rPaired	tLeft	fLeft	rLeft	tRight	fRight	rRight
Am-AG-1	261	2162	0	2162	2178	0	2178	2180	1	2179
Am-AG-10	151	1248	0	1248	1251	0	1251	1284	0	1284
Am-AG-11	393	2488	0	2488	2509	0	2509	2534	1	2533
Am-AG-2B	230	2072	0	2072	2085	0	2085	2100	0	2100
Am-AG-4B	186	1808	0	1808	1817	0	1817	1826	0	1826
Am-ATC-2	3	3	0	3	3	0	3	442	3	439
Am-ATC-3	164	1893	0	1893	1900	0	1900	1910	0	1910
Am-CT-2	9	26	0	26	27	0	27	28	0	28
Am-CT-5	1	4	0	4	8	0	8	7	3	4
Arm01	43	728	0	728	865	0	865	802	2	800
Arm02	120	1024	0	1024	1060	0	1060	1071	0	1071
Arm03	47	406	0	406	621	0	621	442	0	442
Arm04	185	1102	0	1102	1262	1	1261	1158	0	1158
Arm05	124	1068	0	1068	1069	0	1069	1085	0	1085
Arm06	32	329	0	329	347	0	347	340	0	340
Arm07	1	5	0	5	5	0	5	5	0	5
Arm08	41	459	0	459	464	0	464	463	1	462
Arm09	48	337	0	337	350	0	350	456	0	456
Arm10	102	1624	0	1624	1650	0	1650	1915	0	1915
Arm11	115	1269	0	1269	1276	0	1276	1279	0	1279
Armo01	55	365	0	365	366	0	366	377	0	377
Armo02	1	5	0	5	5	0	5	230	0	230
Armo03	101	707	0	707	708	1	707	719	0	719

total reads	22756
unrecognised reads	71
