marker	unique_seqs	tPaired	fPaired	rPaired	tLeft	fLeft	rLeft	tRight	fRight	rRight
Am-AG-1	98	694	694	0	700	698	2	697	697	0
Am-AG-10	46	552	552	0	564	564	0	567	564	3
Am-AG-11	109	680	680	0	699	699	0	691	689	2
Am-AG-2B	166	1298	1298	0	1345	1345	0	1311	1311	0
Am-AG-4B	77	611	611	0	629	628	1	619	618	1
Am-ATC-2	2	2	2	0	5	5	0	706	705	1
Am-ATC-3	156	1247	1247	0	1257	1257	0	1254	1254	0
Am-CT-2	110	703	703	0	714	714	0	709	709	0
Am-CT-5	1	5	5	0	10	9	1	5	5	0
Arm01	4	10	10	0	136	135	1	10	10	0
Arm02	76	578	578	0	626	626	0	663	663	0
Arm03	0	0	0	0	397	397	0	0	0	0
Arm04	41	202	202	0	428	428	0	360	360	0
Arm05	55	464	464	0	464	464	0	466	466	0
Arm06	0	0	0	0	6	6	0	3	3	0
Arm07	2	13	13	0	13	13	0	15	15	0
Arm08	24	293	293	0	294	293	1	300	300	0
Arm09	1	1	1	0	3	3	0	247	247	0
Arm10	51	458	458	0	616	616	0	755	755	0
Arm11	76	725	724	1	726	725	1	726	725	1
Armo01	57	282	282	0	294	294	0	292	292	0
Armo02	0	0	0	0	14	14	0	189	189	0
Armo03	4	10	10	0	15	15	0	21	21	0

total reads	10815
unrecognised reads	14
