marker	unique_seqs	tPaired	fPaired	rPaired	tLeft	fLeft	rLeft	tRight	fRight	rRight
Am-AG-1	116	686	0	686	690	2	688	697	1	696
Am-AG-10	74	551	0	551	556	0	556	571	0	571
Am-AG-11	152	674	0	674	688	0	688	695	2	693
Am-AG-2B	176	1293	0	1293	1331	0	1331	1318	0	1318
Am-AG-4B	87	606	0	606	622	1	621	619	0	619
Am-ATC-2	1	2	0	2	4	0	4	705	5	700
Am-ATC-3	181	1242	0	1242	1250	0	1250	1254	0	1254
Am-CT-2	154	693	0	693	696	0	696	717	0	717
Am-CT-5	1	5	0	5	9	0	9	6	1	5
Arm01	5	11	0	11	133	0	133	12	0	12
Arm02	102	578	0	578	624	1	623	667	0	667
Arm03	0	0	0	0	395	0	395	0	0	0
Arm04	64	201	0	201	421	0	421	363	0	363
Arm05	66	461	0	461	461	0	461	462	0	462
Arm06	0	0	0	0	6	0	6	3	0	3
Arm07	3	13	0	13	13	0	13	14	0	14
Arm08	20	288	0	288	291	2	289	294	0	294
Arm09	1	1	0	1	4	0	4	247	0	247
Arm10	73	457	0	457	612	0	612	753	0	753
Arm11	80	719	1	718	720	1	719	725	1	724
Armo01	60	280	0	280	284	0	284	300	0	300
Armo02	0	0	0	0	14	0	14	187	0	187
Armo03	3	10	0	10	17	2	15	20	0	20

total reads	10815
unrecognised reads	44
