marker	unique_seqs	tPaired	fPaired	rPaired	tLeft	fLeft	rLeft	tRight	fRight	rRight
Am-AG-1	206	1652	0	1652	1656	1	1655	1669	1	1668
Am-AG-10	8	21	0	21	21	0	21	30	0	30
Am-AG-11	15	47	0	47	48	0	48	59	2	57
Am-AG-2B	108	883	0	883	888	0	888	1788	0	1788
Am-AG-4B	86	818	1	817	832	1	831	826	1	825
Am-ATC-2	1	1	0	1	6	0	6	513	7	506
Am-ATC-3	5	12	0	12	973	0	973	20	2	18
Am-CT-2	8	13	0	13	909	1	908	1002	0	1002
Am-CT-5	23	329	0	329	331	0	331	332	0	332
Arm01	76	1024	0	1024	1180	0	1180	1107	0	1107
Arm02	246	1577	0	1577	1657	0	1657	1790	1	1789
Arm03	1	4	0	4	643	0	643	4	0	4
Arm04	159	878	0	878	933	0	933	954	0	954
Arm05	53	377	0	377	379	0	379	379	0	379
Arm06	1	3	0	3	3	0	3	3	0	3
Arm07	0	0	0	0	0	0	0	0	0	0
Arm08	2	18	0	18	19	0	19	19	1	18
Arm09	7	29	0	29	29	0	29	336	1	335
Arm10	127	2271	0	2271	2312	0	2312	2309	0	2309
Arm11	67	694	0	694	696	0	696	701	0	701
Armo01	4	5	0	5	5	0	5	6	0	6
Armo02	1	4	0	4	4	0	4	378	0	378
Armo03	8	43	0	43	76	1	75	280	0	280

total reads	14551
unrecognised reads	47
