marker	unique_seqs	tPaired	fPaired	rPaired	tLeft	fLeft	rLeft	tRight	fRight	rRight
Am-AG-1	297	3317	3317	0	3345	3344	1	3324	3324	0
Am-AG-10	40	576	576	0	583	583	0	597	594	3
Am-AG-11	135	1029	1029	0	1037	1036	1	1091	1090	1
Am-AG-2B	353	3937	3937	0	3976	3976	0	3968	3968	0
Am-AG-4B	117	1248	1248	0	1285	1284	1	1256	1255	1
Am-ATC-2	1	2	2	0	2	2	0	880	880	0
Am-ATC-3	2	3	3	0	6	4	2	22	22	0
Am-CT-2	1	5	5	0	5	5	0	58	58	0
Am-CT-5	4	8	8	0	13	11	2	9	8	1
Arm01	225	3709	3709	0	3992	3989	3	3910	3910	0
Arm02	295	3204	3204	0	3357	3357	0	3444	3444	0
Arm03	10	78	78	0	1874	1874	0	115	115	0
Arm04	8	61	61	0	105	104	1	69	69	0
Arm05	4	26	26	0	26	26	0	27	27	0
Arm06	37	141	141	0	218	218	0	204	204	0
Arm07	0	0	0	0	0	0	0	4	4	0
Arm08	6	19	19	0	19	19	0	19	19	0
Arm09	5	20	20	0	20	20	0	723	723	0
Arm10	209	4900	4900	0	5002	5002	0	4989	4989	0
Arm11	21	129	129	0	135	134	1	129	129	0
Armo01	2	5	5	0	5	5	0	6	5	1
Armo02	0	0	0	0	2	2	0	1152	1152	0
Armo03	14	118	118	0	151	151	0	126	126	0

total reads	26299
unrecognised reads	5
