Loci	NallelesSequence	NalleleSize	MissingRate	AllelicMismatches	DiploidGenotypesComparred	AllelicError
AfAa002	4	3	8.33300%	0	5	0% 
AfAa003	1	1	0%	0	6	0% 
AfAa005	1	1	0%	0	6	0% 
AfAa006	4	2	16.66600%	1	5	10.00000% 
AfAa009	2	2	0%	0	6	0% 
AfAa010	3	3	16.66600%	0	5	0% 
AfAa011	2	2	0%	0	6	0% 
AfAa018	3	3	0%	0	6	0% 
AfAa021	3	2	16.66600%	0	5	0% 
AfAa023	2	2	16.66600%	0	5	0% 
AfAa024	2	1	0%	0	6	0% 
AfAa025	4	1	8.33300%	0	5	0% 
AfAa026	1	1	0%	0	6	0% 
AfAa028	2	2	0%	1	6	8.33300% 
AfAa030	2	2	0%	0	6	0% 
AfAa031	6	6	0%	0	6	0% 
AfAa032	2	2	0%	0	6	0% 
AfAa036	3	3	16.66600%	0	5	0% 
AfAa041	2	2	16.66600%	0	5	0% 
AfAa042	1	1	0%	0	6	0% 
AfAa043	3	2	33.33300%	0	3	0% 
AfAa051	4	4	25.00000%	1	4	12.50000% 
AfAa052	0	0	100.00000%	0	0	% 
AfAa053	1	1	83.33300%	0	1	0% 
AfAa054	5	4	0%	0	6	0% 
AfAa056	0	0	100.00000%	0	0	% 
AfAa059	5	4	16.66600%	0	5	0% 
AfAa060	2	2	33.33300%	0	4	0% 
