Locus	1614-1_A	1614-1_B	1614-2_A	1614-2_B	1614-3_A	1614-3_B	1714-1_A	1714-1_B	1714-2_A	1714-2_B	1714-3_A	1714-3_B	
AfAa002	281	328	392	550	428	451	264	221	191	199	178	194	
AfAa003	326	424	592	829	688	781	701	638	671	616	751	715	
AfAa005	345	432	517	689	588	669	604	655	609	617	728	721	
AfAa006	104	116	312	417	376	456	420	357	410	323	413	379	
AfAa009	328	421	290	402	383	431	399	412	420	365	392	364	
AfAa010	2	1	252	354	325	321	344	321	336	359	428	390	
AfAa011	295	345	435	614	564	635	513	435	473	455	450	470	
AfAa018	332	409	390	528	469	566	476	407	247	276	495	511	
AfAa021	9	8	337	470	380	400	422	379	390	328	389	395	
AfAa023	4	1	270	330	339	404	315	304	294	328	321	308	
AfAa024	198	236	337	456	406	468	395	338	318	354	380	384	
AfAa025	55	63	138	215	177	216	302	289	277	266	263	286	
AfAa026	295	333	324	418	370	472	368	423	394	447	361	378	
AfAa028	92	101	186	237	178	257	252	255	267	185	205	230	
AfAa030	208	250	243	364	344	408	372	392	363	346	404	348	
AfAa031	191	270	269	370	347	397	255	280	437	414	297	315	
AfAa032	169	197	317	372	365	396	288	300	302	277	274	266	
AfAa036	92	117	143	167	170	234	209	182	190	217	193	203	
AfAa041	9	11	85	112	131	128	65	61	70	69	76	76	
AfAa042	205	234	258	349	303	382	319	322	347	309	323	323	
AfAa043	110	117	229	310	325	410	291	282	297	248	292	269	
AfAa051	0	1	44	75	67	61	121	97	91	67	124	131	
AfAa052	44	48	37	52	40	44	53	61	66	40	52	63	
AfAa053	0	0	3	5	91	101	0	1	0	0	9	7	
AfAa054	161	175	189	233	214	261	284	285	326	314	228	225	
AfAa056	1	0	1	1	0	0	1	0	1	4	1	1	
AfAa059	28	37	67	76	104	103	114	132	97	129	118	108	
AfAa060	57	57	60	98	92	87	106	135	61	90	87	112	
