marker	unique_seqs	tPaired	fPaired	rPaired	tLeft	fLeft	rLeft	tRight	fRight	rRight
AfAa002	41	281	281	0	983	982	1	379	379	0
AfAa003	43	326	326	0	331	331	0	403	403	0
AfAa005	35	345	345	0	363	359	4	355	355	0
AfAa006	30	104	104	0	519	519	0	168	162	6
AfAa009	47	328	328	0	429	429	0	371	371	0
AfAa010	2	2	2	0	94	93	1	3	3	0
AfAa011	47	295	295	0	754	754	0	494	494	0
AfAa018	57	332	332	0	335	335	0	398	398	0
AfAa021	7	9	9	0	11	11	0	31	31	0
AfAa023	4	4	4	0	822	822	0	203	199	4
AfAa024	39	198	198	0	365	365	0	293	293	0
AfAa025	13	55	55	0	96	96	0	107	107	0
AfAa026	46	295	295	0	311	311	0	311	311	0
AfAa028	23	92	92	0	270	242	28	399	398	1
AfAa030	43	208	208	0	397	396	1	212	212	0
AfAa031	46	191	191	0	194	193	1	655	655	0
AfAa032	44	169	169	0	276	273	3	172	172	0
AfAa036	24	92	92	0	941	941	0	168	168	0
AfAa041	3	9	9	0	81	77	4	819	819	0
AfAa042	50	205	205	0	254	251	3	209	209	0
AfAa043	24	110	110	0	136	136	0	996	995	1
AfAa051	0	0	0	0	129	121	8	21	13	8
AfAa052	43	44	44	0	64	64	0	47	47	0
AfAa053	0	0	0	0	176	175	1	958	958	0
AfAa054	55	161	161	0	186	183	3	228	228	0
AfAa056	1	1	1	0	10	10	0	4	4	0
AfAa059	12	28	28	0	132	131	1	319	319	0
AfAa060	16	57	57	0	297	297	0	68	68	0

total reads	8834
unrecognised reads	6
