marker	unique_seqs	tPaired	fPaired	rPaired	tLeft	fLeft	rLeft	tRight	fRight	rRight
AfAa002	54	328	328	0	1047	1047	0	436	436	0
AfAa003	50	424	424	0	429	429	0	479	479	0
AfAa005	56	432	432	0	451	447	4	444	444	0
AfAa006	25	116	116	0	626	626	0	202	194	8
AfAa009	64	421	421	0	531	531	0	463	463	0
AfAa010	1	1	1	0	128	128	0	2	2	0
AfAa011	51	345	345	0	781	781	0	592	592	0
AfAa018	71	409	409	0	411	411	0	462	462	0
AfAa021	3	8	8	0	9	9	0	43	43	0
AfAa023	1	1	1	0	911	911	0	168	167	1
AfAa024	48	236	236	0	466	466	0	314	314	0
AfAa025	14	63	63	0	114	114	0	110	110	0
AfAa026	61	333	333	0	355	355	0	348	348	0
AfAa028	24	101	101	0	306	263	43	398	398	0
AfAa030	66	250	250	0	462	461	1	253	253	0
AfAa031	59	270	270	0	272	272	0	712	712	0
AfAa032	41	197	197	0	327	323	4	203	203	0
AfAa036	30	117	117	0	1075	1075	0	225	225	0
AfAa041	6	11	11	0	68	66	2	928	928	0
AfAa042	54	234	234	0	274	273	1	240	240	0
AfAa043	29	117	117	0	146	146	0	1225	1224	1
AfAa051	1	1	1	0	164	161	3	19	10	9
AfAa052	46	48	48	0	78	77	1	49	49	0
AfAa053	0	0	0	0	153	153	0	1054	1054	0
AfAa054	54	175	175	0	208	203	5	270	269	1
AfAa056	0	0	0	0	16	16	0	2	2	0
AfAa059	14	37	37	0	125	124	1	339	339	0
AfAa060	19	57	57	0	281	281	0	70	70	0

total reads	10069
unrecognised reads	0
