Allele1,Allele2,Value
Am-AG-1_101,Am-AG-1_101,1.0
Am-AG-1_101,Am-AG-1_102,1.0
Am-AG-1_101,Am-AG-1_103,1.0
Am-AG-1_101,Am-AG-1_104,1.0
Am-AG-1_101,Am-AG-1_105,1.0
Am-AG-1_101,Am-AG-1_106,1.0
Am-AG-1_101,Am-AG-1_107,1.0
Am-AG-1_101,Am-AG-1_108,1.0
Am-AG-1_101,Am-AG-1_109,1.0
Am-AG-1_102,Am-AG-1_101,1.0
Am-AG-1_102,Am-AG-1_102,1.0
Am-AG-1_102,Am-AG-1_103,1.0
Am-AG-1_102,Am-AG-1_104,1.0
Am-AG-1_102,Am-AG-1_105,1.0
Am-AG-1_102,Am-AG-1_106,1.0
Am-AG-1_102,Am-AG-1_107,1.0
Am-AG-1_102,Am-AG-1_108,1.0
Am-AG-1_102,Am-AG-1_109,1.0
Am-AG-1_103,Am-AG-1_101,1.0
Am-AG-1_103,Am-AG-1_102,1.0
Am-AG-1_103,Am-AG-1_103,1.0
Am-AG-1_103,Am-AG-1_104,1.0
Am-AG-1_103,Am-AG-1_105,1.0
Am-AG-1_103,Am-AG-1_106,1.0
Am-AG-1_103,Am-AG-1_107,1.0
Am-AG-1_103,Am-AG-1_108,1.0
Am-AG-1_103,Am-AG-1_109,1.0
Am-AG-1_104,Am-AG-1_101,1.0
Am-AG-1_104,Am-AG-1_102,1.0
Am-AG-1_104,Am-AG-1_103,1.0
Am-AG-1_104,Am-AG-1_104,1.0
Am-AG-1_104,Am-AG-1_105,1.0
Am-AG-1_104,Am-AG-1_106,1.0
Am-AG-1_104,Am-AG-1_107,1.0
Am-AG-1_104,Am-AG-1_108,1.0
Am-AG-1_104,Am-AG-1_109,1.0
Am-AG-1_105,Am-AG-1_101,1.0
Am-AG-1_105,Am-AG-1_102,1.0
Am-AG-1_105,Am-AG-1_103,1.0
Am-AG-1_105,Am-AG-1_104,1.0
Am-AG-1_105,Am-AG-1_105,1.0
Am-AG-1_105,Am-AG-1_106,1.0
Am-AG-1_105,Am-AG-1_107,1.0
Am-AG-1_105,Am-AG-1_108,1.0
Am-AG-1_105,Am-AG-1_109,1.0
Am-AG-1_106,Am-AG-1_101,1.0
Am-AG-1_106,Am-AG-1_102,1.0
Am-AG-1_106,Am-AG-1_103,1.0
Am-AG-1_106,Am-AG-1_104,1.0
Am-AG-1_106,Am-AG-1_105,1.0
Am-AG-1_106,Am-AG-1_106,1.0
Am-AG-1_106,Am-AG-1_107,1.0
Am-AG-1_106,Am-AG-1_108,1.0
Am-AG-1_106,Am-AG-1_109,1.0
Am-AG-1_107,Am-AG-1_101,1.0
Am-AG-1_107,Am-AG-1_102,1.0
Am-AG-1_107,Am-AG-1_103,1.0
Am-AG-1_107,Am-AG-1_104,1.0
Am-AG-1_107,Am-AG-1_105,1.0
Am-AG-1_107,Am-AG-1_106,1.0
Am-AG-1_107,Am-AG-1_107,1.0
Am-AG-1_107,Am-AG-1_108,1.0
Am-AG-1_107,Am-AG-1_109,1.0
Am-AG-1_108,Am-AG-1_101,1.0
Am-AG-1_108,Am-AG-1_102,1.0
Am-AG-1_108,Am-AG-1_103,1.0
Am-AG-1_108,Am-AG-1_104,1.0
Am-AG-1_108,Am-AG-1_105,1.0
Am-AG-1_108,Am-AG-1_106,1.0
Am-AG-1_108,Am-AG-1_107,1.0
Am-AG-1_108,Am-AG-1_108,1.0
Am-AG-1_108,Am-AG-1_109,1.0
Am-AG-1_109,Am-AG-1_101,1.0
Am-AG-1_109,Am-AG-1_102,1.0
Am-AG-1_109,Am-AG-1_103,1.0
Am-AG-1_109,Am-AG-1_104,1.0
Am-AG-1_109,Am-AG-1_105,1.0
Am-AG-1_109,Am-AG-1_106,1.0
Am-AG-1_109,Am-AG-1_107,1.0
Am-AG-1_109,Am-AG-1_108,1.0
Am-AG-1_109,Am-AG-1_109,1.0
