Allele1,Allele2,Value
Am-CT-5_101,Am-CT-5_101,1.0
Am-CT-5_101,Am-CT-5_102,0.0
Am-CT-5_101,Am-CT-5_103,0.0
Am-CT-5_101,Am-CT-5_104,0.0
Am-CT-5_101,Am-CT-5_105,0.0
Am-CT-5_101,Am-CT-5_106,0.0
Am-CT-5_102,Am-CT-5_101,0.0
Am-CT-5_102,Am-CT-5_102,1.0
Am-CT-5_102,Am-CT-5_103,0.0
Am-CT-5_102,Am-CT-5_104,0.0
Am-CT-5_102,Am-CT-5_105,0.0
Am-CT-5_102,Am-CT-5_106,0.0
Am-CT-5_103,Am-CT-5_101,0.0
Am-CT-5_103,Am-CT-5_102,0.0
Am-CT-5_103,Am-CT-5_103,1.0
Am-CT-5_103,Am-CT-5_104,0.0
Am-CT-5_103,Am-CT-5_105,0.0
Am-CT-5_103,Am-CT-5_106,0.0
Am-CT-5_104,Am-CT-5_101,0.0
Am-CT-5_104,Am-CT-5_102,0.0
Am-CT-5_104,Am-CT-5_103,0.0
Am-CT-5_104,Am-CT-5_104,1.0
Am-CT-5_104,Am-CT-5_105,0.0
Am-CT-5_104,Am-CT-5_106,0.0
Am-CT-5_105,Am-CT-5_101,0.0
Am-CT-5_105,Am-CT-5_102,0.0
Am-CT-5_105,Am-CT-5_103,0.0
Am-CT-5_105,Am-CT-5_104,0.0
Am-CT-5_105,Am-CT-5_105,1.0
Am-CT-5_105,Am-CT-5_106,0.0
Am-CT-5_106,Am-CT-5_101,0.0
Am-CT-5_106,Am-CT-5_102,0.0
Am-CT-5_106,Am-CT-5_103,0.0
Am-CT-5_106,Am-CT-5_104,0.0
Am-CT-5_106,Am-CT-5_105,0.0
Am-CT-5_106,Am-CT-5_106,1.0
