Allele1,Allele2,Value
109,109,1.0
109,113,0.5
109,117,0.1
109,129,0.0
109,81,0.0
109,93,0.0
109,97,0.0
113,109,0.1
113,113,1.0
113,117,0.5
113,129,0.0
113,81,0.0
113,93,0.0
113,97,0.0
117,109,0.1
117,113,0.1
117,117,1.0
117,129,0.0
117,81,0.0
117,93,0.0
117,97,0.0
129,109,0.0
129,113,0.0
129,117,0.0
129,129,1.0
129,81,0.0
129,93,0.0
129,97,0.0
81,109,0.0
81,113,0.0
81,117,0.0
81,129,0.0
81,81,1.0
81,93,0.0
81,97,0.0
93,109,0.0
93,113,0.0
93,117,0.0
93,129,0.0
93,81,0.0
93,93,1.0
93,97,0.5
97,109,0.0
97,113,0.0
97,117,0.0
97,129,0.0
97,81,0.0
97,93,0.1
97,97,1.0
