Allele1,Allele2,Value
MSCB26_71,MSCB26_71,1.0
MSCB26_71,MSCB26_71_2,0.0
MSCB26_71,MSCB26_71_3,0.0
MSCB26_71,MSCB26_71_4,0.0
MSCB26_71,MSCB26_71_5,0.0
MSCB26_71,MSCB26_74,0.0
MSCB26_71,MSCB26_9,0.0
MSCB26_71_2,MSCB26_71,0.0
MSCB26_71_2,MSCB26_71_2,1.0
MSCB26_71_2,MSCB26_71_3,0.0
MSCB26_71_2,MSCB26_71_4,0.0
MSCB26_71_2,MSCB26_71_5,0.0
MSCB26_71_2,MSCB26_74,0.0
MSCB26_71_2,MSCB26_9,0.0
MSCB26_71_3,MSCB26_71,0.0
MSCB26_71_3,MSCB26_71_2,0.0
MSCB26_71_3,MSCB26_71_3,1.0
MSCB26_71_3,MSCB26_71_4,0.0
MSCB26_71_3,MSCB26_71_5,0.0
MSCB26_71_3,MSCB26_74,0.0
MSCB26_71_3,MSCB26_9,0.0
MSCB26_71_4,MSCB26_71,0.0
MSCB26_71_4,MSCB26_71_2,0.0
MSCB26_71_4,MSCB26_71_3,0.0
MSCB26_71_4,MSCB26_71_4,1.0
MSCB26_71_4,MSCB26_71_5,0.0
MSCB26_71_4,MSCB26_74,0.5
MSCB26_71_4,MSCB26_9,0.0
MSCB26_71_5,MSCB26_71,0.0
MSCB26_71_5,MSCB26_71_2,0.0
MSCB26_71_5,MSCB26_71_3,0.0
MSCB26_71_5,MSCB26_71_4,0.0
MSCB26_71_5,MSCB26_71_5,1.0
MSCB26_71_5,MSCB26_74,0.0
MSCB26_71_5,MSCB26_9,0.0
MSCB26_74,MSCB26_71,0.0
MSCB26_74,MSCB26_71_2,0.0
MSCB26_74,MSCB26_71_3,0.0
MSCB26_74,MSCB26_71_4,0.1
MSCB26_74,MSCB26_71_5,0.0
MSCB26_74,MSCB26_74,1.0
MSCB26_74,MSCB26_9,0.0
MSCB26_9,MSCB26_71,0.0
MSCB26_9,MSCB26_71_2,0.0
MSCB26_9,MSCB26_71_3,0.0
MSCB26_9,MSCB26_71_4,0.0
MSCB26_9,MSCB26_71_5,0.0
MSCB26_9,MSCB26_74,0.0
MSCB26_9,MSCB26_9,1.0
