Allele1,Allele2,Value
Am-ATC-3_101,Am-ATC-3_101,1.0
Am-ATC-3_101,Am-ATC-3_102,1.0
Am-ATC-3_101,Am-ATC-3_103,1.0
Am-ATC-3_101,Am-ATC-3_104,1.0
Am-ATC-3_101,Am-ATC-3_105,1.0
Am-ATC-3_101,Am-ATC-3_106,1.0
Am-ATC-3_101,Am-ATC-3_107,1.0
Am-ATC-3_101,Am-ATC-3_108,1.0
Am-ATC-3_101,Am-ATC-3_109,1.0
Am-ATC-3_101,Am-ATC-3_110,1.0
Am-ATC-3_101,Am-ATC-3_111,1.0
Am-ATC-3_101,Am-ATC-3_112,1.0
Am-ATC-3_101,Am-ATC-3_113,1.0
Am-ATC-3_101,Am-ATC-3_114,1.0
Am-ATC-3_101,Am-ATC-3_115,1.0
Am-ATC-3_101,Am-ATC-3_116,1.0
Am-ATC-3_102,Am-ATC-3_101,1.0
Am-ATC-3_102,Am-ATC-3_102,1.0
Am-ATC-3_102,Am-ATC-3_103,1.0
Am-ATC-3_102,Am-ATC-3_104,1.0
Am-ATC-3_102,Am-ATC-3_105,1.0
Am-ATC-3_102,Am-ATC-3_106,1.0
Am-ATC-3_102,Am-ATC-3_107,1.0
Am-ATC-3_102,Am-ATC-3_108,1.0
Am-ATC-3_102,Am-ATC-3_109,1.0
Am-ATC-3_102,Am-ATC-3_110,1.0
Am-ATC-3_102,Am-ATC-3_111,1.0
Am-ATC-3_102,Am-ATC-3_112,1.0
Am-ATC-3_102,Am-ATC-3_113,1.0
Am-ATC-3_102,Am-ATC-3_114,1.0
Am-ATC-3_102,Am-ATC-3_115,1.0
Am-ATC-3_102,Am-ATC-3_116,1.0
Am-ATC-3_103,Am-ATC-3_101,1.0
Am-ATC-3_103,Am-ATC-3_102,1.0
Am-ATC-3_103,Am-ATC-3_103,1.0
Am-ATC-3_103,Am-ATC-3_104,1.0
Am-ATC-3_103,Am-ATC-3_105,1.0
Am-ATC-3_103,Am-ATC-3_106,1.0
Am-ATC-3_103,Am-ATC-3_107,1.0
Am-ATC-3_103,Am-ATC-3_108,1.0
Am-ATC-3_103,Am-ATC-3_109,1.0
Am-ATC-3_103,Am-ATC-3_110,1.0
Am-ATC-3_103,Am-ATC-3_111,1.0
Am-ATC-3_103,Am-ATC-3_112,1.0
Am-ATC-3_103,Am-ATC-3_113,1.0
Am-ATC-3_103,Am-ATC-3_114,1.0
Am-ATC-3_103,Am-ATC-3_115,1.0
Am-ATC-3_103,Am-ATC-3_116,1.0
Am-ATC-3_104,Am-ATC-3_101,1.0
Am-ATC-3_104,Am-ATC-3_102,1.0
Am-ATC-3_104,Am-ATC-3_103,1.0
Am-ATC-3_104,Am-ATC-3_104,1.0
Am-ATC-3_104,Am-ATC-3_105,1.0
Am-ATC-3_104,Am-ATC-3_106,1.0
Am-ATC-3_104,Am-ATC-3_107,1.0
Am-ATC-3_104,Am-ATC-3_108,1.0
Am-ATC-3_104,Am-ATC-3_109,1.0
Am-ATC-3_104,Am-ATC-3_110,1.0
Am-ATC-3_104,Am-ATC-3_111,1.0
Am-ATC-3_104,Am-ATC-3_112,1.0
Am-ATC-3_104,Am-ATC-3_113,1.0
Am-ATC-3_104,Am-ATC-3_114,1.0
