Loci	NallelesSequence	NalleleSize	MissingRate	AllelicMismatches	PolyploidGenotypesComparred	GenotypicError
MSCB01	7	3	68.42100%	0	6	0% 
MSCB02	5	3	26.31500%	0	14	0% 
MSCB03	5	5	65.78900%	0	6	0% 
MSCB04	3	3	57.89400%	0	8	0% 
MSCB05	11	5	13.15700%	0	16	0% 
MSCB06	5	3	34.21000%	0	12	0% 
MSCB07	2	2	89.47300%	0	2	0% 
MSCB08	0	0	100.00000%	0	0	% 
MSCB09	18	13	42.10500%	2	9	5.55500% 
MSCB10	4	3	36.84200%	1	12	2.08300% 
MSCB11	0	0	100.00000%	0	0	% 
MSCB12	8	8	13.15700%	0	16	0% 
MSCB13	5	1	73.68400%	0	5	0% 
MSCB14	5	4	15.78900%	0	16	0% 
MSCB15	5	5	57.89400%	0	8	0% 
MSCB16	3	3	55.26300%	0	8	0% 
MSCB17	5	2	10.52600%	0	17	0% 
MSCB18	3	3	34.21000%	0	11	0% 
MSCB19	8	4	42.10500%	1	11	2.27200% 
MSCB20	2	1	26.31500%	0	14	0% 
MSCB21	6	5	31.57800%	0	13	0% 
MSCB22	3	2	55.26300%	0	8	0% 
MSCB23	3	3	92.10500%	0	1	0% 
MSCB24	10	3	13.15700%	0	16	0% 
MSCB25	3	3	89.47300%	0	2	0% 
MSCB26	7	3	10.52600%	0	17	0% 
MSCB27	8	6	36.84200%	0	11	0% 
MSCB28	13	6	21.05200%	0	15	0% 
MSCB29	0	0	100.00000%	0	0	% 
MSCB30	4	4	84.21000%	0	3	0% 
MSCB31	6	6	68.42100%	0	6	0% 
MSCB32	3	2	63.15700%	0	7	0% 
MSCB33	1	1	92.10500%	0	1	0% 
MSCB34	4	3	15.78900%	0	16	0% 
MSCB35	0	0	100.00000%	0	0	% 
MSCB36	7	3	10.52600%	0	17	0% 
MSCB37	9	5	39.47300%	1	11	2.27200% 
MSCB38	5	2	52.63100%	0	9	0% 
